Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.2539333333333333,min
Min cumulative indexing time across primary shards,,0.20421666666666666,min
Median cumulative indexing time across primary shards,,0.22840000000000002,min
Max cumulative indexing time across primary shards,,0.32443333333333335,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.025766666666666667,min
Cumulative merge count of primary shards,,9,
Min cumulative merge time across primary shards,,0.0028333333333333335,min
Median cumulative merge time across primary shards,,0.005233333333333334,min
Max cumulative merge time across primary shards,,0.006783333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.5244333333333333,min
Cumulative refresh count of primary shards,,92,
Min cumulative refresh time across primary shards,,0.08929999999999999,min
Median cumulative refresh time across primary shards,,0.09561666666666667,min
Max cumulative refresh time across primary shards,,0.12476666666666666,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.327,s
Total Young Gen GC count,,36,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,1.1511731185019016,GB
Translog size,,1.0057613840326667,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,68,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2894.46,docs/s
Mean Throughput,bulk,3245.98,docs/s
Median Throughput,bulk,3240.54,docs/s
Max Throughput,bulk,3324.49,docs/s
50th percentile latency,bulk,42.50808300275821,ms
90th percentile latency,bulk,55.05329530860762,ms
99th percentile latency,bulk,70.37615115055813,ms
99.9th percentile latency,bulk,197.4451663333228,ms
99.99th percentile latency,bulk,3322.562415148051,ms
100th percentile latency,bulk,3660.153001983417,ms
50th percentile service time,bulk,42.50808300275821,ms
90th percentile service time,bulk,55.05329530860762,ms
99th percentile service time,bulk,70.37615115055813,ms
99.9th percentile service time,bulk,197.4451663333228,ms
99.99th percentile service time,bulk,3322.562415148051,ms
100th percentile service time,bulk,3660.153001983417,ms
error rate,bulk,0.00,%
