Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.5375666666666666,min
Min cumulative indexing time across primary shards,,0.1056,min
Median cumulative indexing time across primary shards,,0.10595,min
Max cumulative indexing time across primary shards,,0.11301666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.0667,min
Cumulative merge count of primary shards,,10,
Min cumulative merge time across primary shards,,0.012,min
Median cumulative merge time across primary shards,,0.01385,min
Max cumulative merge time across primary shards,,0.014316666666666667,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.08346666666666666,min
Cumulative refresh count of primary shards,,72,
Min cumulative refresh time across primary shards,,0.014366666666666666,min
Median cumulative refresh time across primary shards,,0.017333333333333333,min
Max cumulative refresh time across primary shards,,0.01855,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.143,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.2876839330419898,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,33,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,9630.90,docs/s
Mean Throughput,bulk,12785.62,docs/s
Median Throughput,bulk,12904.60,docs/s
Max Throughput,bulk,13246.19,docs/s
50th percentile latency,bulk,8.126812987029552,ms
90th percentile latency,bulk,11.83031641412526,ms
99th percentile latency,bulk,21.856528020289243,ms
99.9th percentile latency,bulk,91.76846270551464,ms
99.99th percentile latency,bulk,150.44932207079526,ms
100th percentile latency,bulk,200.96737498533912,ms
50th percentile service time,bulk,8.126812987029552,ms
90th percentile service time,bulk,11.83031641412526,ms
99th percentile service time,bulk,21.856528020289243,ms
99.9th percentile service time,bulk,91.76846270551464,ms
99.99th percentile service time,bulk,150.44932207079526,ms
100th percentile service time,bulk,200.96737498533912,ms
error rate,bulk,0.00,%
