Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.5357666666666667,min
Min cumulative indexing time across primary shards,,0.10488333333333334,min
Median cumulative indexing time across primary shards,,0.10833333333333334,min
Max cumulative indexing time across primary shards,,0.10883333333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.059949999999999996,min
Cumulative merge count of primary shards,,10,
Min cumulative merge time across primary shards,,0.010733333333333334,min
Median cumulative merge time across primary shards,,0.011666666666666665,min
Max cumulative merge time across primary shards,,0.013699999999999999,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.08081666666666668,min
Cumulative refresh count of primary shards,,75,
Min cumulative refresh time across primary shards,,0.014416666666666666,min
Median cumulative refresh time across primary shards,,0.016066666666666667,min
Max cumulative refresh time across primary shards,,0.01788333333333333,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.071,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.29146896954625845,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,38,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,9144.61,docs/s
Mean Throughput,bulk,12843.60,docs/s
Median Throughput,bulk,12984.89,docs/s
Max Throughput,bulk,13349.20,docs/s
50th percentile latency,bulk,8.047146009630524,ms
90th percentile latency,bulk,11.725191719597206,ms
99th percentile latency,bulk,18.024122082279032,ms
99.9th percentile latency,bulk,84.52011468808978,ms
99.99th percentile latency,bulk,154.40294531880855,ms
100th percentile latency,bulk,160.91249999590218,ms
50th percentile service time,bulk,8.047146009630524,ms
90th percentile service time,bulk,11.725191719597206,ms
99th percentile service time,bulk,18.024122082279032,ms
99.9th percentile service time,bulk,84.52011468808978,ms
99.99th percentile service time,bulk,154.40294531880855,ms
100th percentile service time,bulk,160.91249999590218,ms
error rate,bulk,0.00,%
