Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.8765333333333333,min
Min cumulative indexing time across primary shards,,0.025133333333333334,min
Median cumulative indexing time across primary shards,,0.169075,min
Max cumulative indexing time across primary shards,,0.17501666666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.14906666666666668,min
Cumulative merge count of primary shards,,3,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.023733333333333332,min
Max cumulative merge time across primary shards,,0.05171666666666667,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.12363333333333333,min
Cumulative refresh count of primary shards,,73,
Min cumulative refresh time across primary shards,,0.0019500000000000001,min
Median cumulative refresh time across primary shards,,0.02178333333333333,min
Max cumulative refresh time across primary shards,,0.029500000000000002,min
Cumulative flush time of primary shards,,0.004483333333333334,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.004483333333333334,min
Total Young Gen GC time,,0.143,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.3191836318001151,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.275115966796875,MB
Heap used for doc values,,0.011077880859375,MB
Heap used for terms,,0.20947265625,MB
Heap used for norms,,0.02587890625,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0286865234375,MB
Segment count,,58,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,3847.58,docs/s
Mean Throughput,bulk,4746.48,docs/s
Median Throughput,bulk,4819.62,docs/s
Max Throughput,bulk,4987.56,docs/s
50th percentile latency,bulk,27.61868349989527,ms
90th percentile latency,bulk,31.03280050017929,ms
99th percentile latency,bulk,78.0428958903576,ms
99.9th percentile latency,bulk,103.5268989938544,ms
99.99th percentile latency,bulk,458.437720330848,ms
100th percentile latency,bulk,462.90792699983285,ms
50th percentile service time,bulk,27.61868349989527,ms
90th percentile service time,bulk,31.03280050017929,ms
99th percentile service time,bulk,78.0428958903576,ms
99.9th percentile service time,bulk,103.5268989938544,ms
99.99th percentile service time,bulk,458.437720330848,ms
100th percentile service time,bulk,462.90792699983285,ms
error rate,bulk,0.00,%
