Metric,Task,Baseline,Contender,Diff,Unit,Diff %
Cumulative indexing time of primary shards,,0.8765333333333333,1.1133166666666667,+0.23678,min,+27.01%
Min cumulative indexing time across primary shard,,0.025133333333333334,0.025133333333333334,0.00000,min,0.00%
Median cumulative indexing time across primary shard,,0.169075,0.21763333333333332,+0.04856,min,+28.72%
Max cumulative indexing time across primary shard,,0.17501666666666665,0.2227,+0.04768,min,+27.25%
Cumulative indexing throttle time of primary shards,,0,0,0.00000,min,0.00%
Min cumulative indexing throttle time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative indexing throttle time across primary shard,,0.0,0.0,0.00000,min,0.00%
Max cumulative indexing throttle time across primary shard,,0,0,0.00000,min,0.00%
Cumulative merge time of primary shards,,0.14906666666666668,0.09893333333333333,-0.05013,min,-33.63%
Cumulative merge count of primary shards,,3,5,+2.00000,,+66.67%
Min cumulative merge time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative merge time across primary shard,,0.023733333333333332,0.01933333333333333,-0.00440,min,-18.54%
Max cumulative merge time across primary shard,,0.05171666666666667,0.021366666666666666,-0.03035,min,-58.69%
Cumulative merge throttle time of primary shards,,0,0,0.00000,min,0.00%
Min cumulative merge throttle time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative merge throttle time across primary shard,,0.0,0.0,0.00000,min,0.00%
Max cumulative merge throttle time across primary shard,,0,0,0.00000,min,0.00%
Cumulative refresh time of primary shards,,0.12363333333333333,0.03638333333333333,-0.08725,min,-70.57%
Cumulative refresh count of primary shards,,73,80,+7.00000,,+9.59%
Min cumulative refresh time across primary shard,,0.0019500000000000001,0.0019500000000000001,0.00000,min,0.00%
Median cumulative refresh time across primary shard,,0.02178333333333333,0.006766666666666667,-0.01502,min,-68.94%
Max cumulative refresh time across primary shard,,0.029500000000000002,0.007466666666666667,-0.02203,min,-74.69%
Cumulative flush time of primary shards,,0.004483333333333334,0.004483333333333334,0.00000,min,0.00%
Cumulative flush count of primary shards,,4,4,0.00000,,0.00%
Min cumulative flush time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative flush time across primary shard,,0.0,0.0,0.00000,min,0.00%
Max cumulative flush time across primary shard,,0.004483333333333334,0.004483333333333334,0.00000,min,0.00%
Total Young Gen GC time,,0.143,0.157,+0.01400,s,+9.79%
Total Young Gen GC count,,5,6,+1.00000,,+20.00%
Total Old Gen GC time,,0,0,0.00000,s,0.00%
Total Old Gen GC count,,0,0,0.00000,,0.00%
Store size,,0.3191836318001151,0.7575430991128087,+0.43836,GB,+137.34%
Translog size,,0.3605366749688983,0.9583279769867659,+0.59779,GB,+165.81%
Heap used for segments,,0.275115966796875,0.07930755615234375,-0.19581,MB,-71.17%
Heap used for doc values,,0.011077880859375,0.00339508056640625,-0.00768,MB,-69.35%
Heap used for terms,,0.20947265625,0.057830810546875,-0.15164,MB,-72.39%
Heap used for norms,,0.02587890625,0.00823974609375,-0.01764,MB,-68.16%
Heap used for points,,0,0,0.00000,MB,0.00%
Heap used for stored fields,,0.0286865234375,0.0098419189453125,-0.01884,MB,-65.69%
Segment count,,58,20,-38.00000,,-65.52%
Total Ingest Pipeline count,,0,0,0.00000,,0.00%
Total Ingest Pipeline time,,0,0,0.00000,ms,0.00%
Total Ingest Pipeline failed,,0,0,0.00000,,0.00%
Min Throughput,bulk,3847.5791546370774,14.203734519000706,-3833.37542,docs/s,-99.63%
Mean Throughput,bulk,4746.482731463089,1720.1469857677223,-3026.33575,docs/s,-63.76%
Median Throughput,bulk,4819.623100705918,1820.0885944115412,-2999.53451,docs/s,-62.24%
Max Throughput,bulk,4987.556241932305,1866.6061710399586,-3120.95007,docs/s,-62.57%
50th percentile latency,bulk,27.61868349989527,77.88803050061688,+50.26935,ms,+182.01%
90th percentile latency,bulk,31.03280050017929,94.47275899965462,+63.43996,ms,+204.43%
99th percentile latency,bulk,78.0428958903576,114.44555400943497,+36.40266,ms,+46.64%
99.9th percentile latency,bulk,103.5268989938544,397.0018174019986,+293.47492,ms,+283.48%
99.99th percentile latency,bulk,458.437720330848,3404.3340759100292,+2945.89636,ms,+642.59%
100th percentile latency,bulk,462.90792699983285,3516.7065570003615,+3053.79863,ms,+659.70%
50th percentile service time,bulk,27.61868349989527,77.88803050061688,+50.26935,ms,+182.01%
90th percentile service time,bulk,31.03280050017929,94.47275899965462,+63.43996,ms,+204.43%
99th percentile service time,bulk,78.0428958903576,114.44555400943497,+36.40266,ms,+46.64%
99.9th percentile service time,bulk,103.5268989938544,397.0018174019986,+293.47492,ms,+283.48%
99.99th percentile service time,bulk,458.437720330848,3404.3340759100292,+2945.89636,ms,+642.59%
100th percentile service time,bulk,462.90792699983285,3516.7065570003615,+3053.79863,ms,+659.70%
error rate,bulk,0.0,0.0,0.00000,%,0.00%
