Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.1287666666666667,min
Min cumulative indexing time across primary shards,,0.022283333333333332,min
Median cumulative indexing time across primary shards,,0.22199166666666667,min
Max cumulative indexing time across primary shards,,0.22776666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0014666666666666667,min
Cumulative refresh count of primary shards,,21,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.0,min
Max cumulative refresh time across primary shards,,0.0014666666666666667,min
Cumulative flush time of primary shards,,0.0049833333333333335,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0049833333333333335,min
Total Young Gen GC time,,0.136,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7273415727540851,GB
Translog size,,0.9281969843432307,GB
Heap used for segments,,0.005191802978515625,MB
Heap used for doc values,,0.000362396240234375,MB
Heap used for terms,,0.00244140625,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.00238800048828125,MB
Segment count,,5,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,0.00,ops/s
Mean Throughput,bulk,26.10,ops/s
Median Throughput,bulk,23.02,ops/s
Max Throughput,bulk,70.20,ops/s
50th percentile latency,bulk,88.63640999970812,ms
90th percentile latency,bulk,108.5048539998752,ms
99th percentile latency,bulk,60998.96841999998,ms
99.9th percentile latency,bulk,61002.3763260001,ms
99.99th percentile latency,bulk,61004.829874000054,ms
100th percentile latency,bulk,61005.85247300023,ms
50th percentile service time,bulk,88.63640999970812,ms
90th percentile service time,bulk,108.5048539998752,ms
99th percentile service time,bulk,60998.96841999998,ms
99.9th percentile service time,bulk,61002.3763260001,ms
99.99th percentile service time,bulk,61004.829874000054,ms
100th percentile service time,bulk,61005.85247300023,ms
error rate,bulk,3.24,%
