Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.03473333333333333,min
Min cumulative indexing time across primary shards,,0.0018666666666666666,min
Median cumulative indexing time across primary shards,,0.0025499999999999997,min
Max cumulative indexing time across primary shards,,0.022533333333333336,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.004600000000000001,min
Cumulative refresh count of primary shards,,26,
Min cumulative refresh time across primary shards,,0.00038333333333333334,min
Median cumulative refresh time across primary shards,,0.0007,min
Max cumulative refresh time across primary shards,,0.0012333333333333332,min
Cumulative flush time of primary shards,,0.0049833333333333335,min
Cumulative flush count of primary shards,,3,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0049833333333333335,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.03904443979263306,GB
Translog size,,0.0017877165228128433,GB
Heap used for segments,,0.047576904296875,MB
Heap used for doc values,,0.0096435546875,MB
Heap used for terms,,0.028289794921875,MB
Heap used for norms,,0.00384521484375,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.00579833984375,MB
Segment count,,12,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,20.76,docs/s
Mean Throughput,bulk,53.90,docs/s
Median Throughput,bulk,41.53,docs/s
Max Throughput,bulk,99.41,docs/s
50th percentile latency,bulk,102.86342500000956,ms
90th percentile latency,bulk,2406.747639999992,ms
100th percentile latency,bulk,2425.503075999984,ms
50th percentile service time,bulk,102.86342500000956,ms
90th percentile service time,bulk,2406.747639999992,ms
100th percentile service time,bulk,2425.503075999984,ms
error rate,bulk,0.00,%
