Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.75665,min
Min cumulative indexing time across primary shards,,0,min
Median cumulative indexing time across primary shards,,0.33545833333333336,min
Max cumulative indexing time across primary shards,,0.41466666666666663,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.12915,min
Cumulative merge count of primary shards,,2,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0.06775,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.24561666666666668,min
Cumulative refresh count of primary shards,,63,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.028733333333333333,min
Max cumulative refresh time across primary shards,,0.12254999999999999,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.4,s
Total Young Gen GC count,,10,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.3041900070384145,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.28757476806640625,MB
Heap used for doc values,,0.01778411865234375,MB
Heap used for terms,,0.2138671875,MB
Heap used for norms,,0.0263671875,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0295562744140625,MB
Segment count,,60,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,142.28,docs/s
Mean Throughput,bulk,2544.33,docs/s
Median Throughput,bulk,2695.51,docs/s
Max Throughput,bulk,2972.00,docs/s
50th percentile latency,bulk,43.53252146393061,ms
90th percentile latency,bulk,55.06524443626404,ms
99th percentile latency,bulk,141.57511573284864,ms
99.9th percentile latency,bulk,253.16183455288555,ms
99.99th percentile latency,bulk,511.3741159439046,ms
100th percentile latency,bulk,5718.069709837437,ms
50th percentile service time,bulk,43.53252146393061,ms
90th percentile service time,bulk,55.06524443626404,ms
99th percentile service time,bulk,141.57511573284864,ms
99.9th percentile service time,bulk,253.16183455288555,ms
99.99th percentile service time,bulk,511.3741159439046,ms
100th percentile service time,bulk,5718.069709837437,ms
error rate,bulk,0.00,%
