Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.83295,min
Min cumulative indexing time across primary shards,,0.038900000000000004,min
Median cumulative indexing time across primary shards,,0.33921666666666667,min
Max cumulative indexing time across primary shards,,0.43834999999999996,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.3052,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.06108333333333334,min
Max cumulative merge time across primary shards,,0.07313333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.24080000000000001,min
Cumulative refresh count of primary shards,,78,
Min cumulative refresh time across primary shards,,0.006833333333333333,min
Median cumulative refresh time across primary shards,,0.02443333333333333,min
Max cumulative refresh time across primary shards,,0.12838333333333335,min
Cumulative flush time of primary shards,,0.0069166666666666664,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0069166666666666664,min
Total Young Gen GC time,,0.326,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.3277960242703557,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.2608642578125,MB
Heap used for doc values,,0.0105438232421875,MB
Heap used for terms,,0.1982421875,MB
Heap used for norms,,0.0244140625,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0276641845703125,MB
Segment count,,56,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1682.22,docs/s
Mean Throughput,bulk,2935.15,docs/s
Median Throughput,bulk,3036.39,docs/s
Max Throughput,bulk,3155.51,docs/s
50th percentile latency,bulk,42.91762039065361,ms
90th percentile latency,bulk,50.51453597843647,ms
99th percentile latency,bulk,108.801512978971,ms
99.9th percentile latency,bulk,228.17893978211754,ms
99.99th percentile latency,bulk,637.9133425652975,ms
100th percentile latency,bulk,6108.0712946131825,ms
50th percentile service time,bulk,42.91762039065361,ms
90th percentile service time,bulk,50.51453597843647,ms
99th percentile service time,bulk,108.801512978971,ms
99.9th percentile service time,bulk,228.17893978211754,ms
99.99th percentile service time,bulk,637.9133425652975,ms
100th percentile service time,bulk,6108.0712946131825,ms
error rate,bulk,0.00,%
