Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,2.040766666666667,min
Min cumulative indexing time across primary shards,,0.043666666666666666,min
Median cumulative indexing time across primary shards,,0.39264166666666667,min
Max cumulative indexing time across primary shards,,0.4283166666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.011933333333333332,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.002191666666666667,min
Max cumulative merge time across primary shards,,0.0030666666666666668,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.02435,min
Cumulative refresh count of primary shards,,98,
Min cumulative refresh time across primary shards,,0.0034666666666666665,min
Median cumulative refresh time across primary shards,,0.0035666666666666668,min
Max cumulative refresh time across primary shards,,0.0056,min
Cumulative flush time of primary shards,,0.00705,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.00705,min
Total Young Gen GC time,,0.444,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7551217116415501,GB
Translog size,,1.0002232333645225,GB
Heap used for segments,,0.16930770874023438,MB
Heap used for doc values,,0.016895294189453125,MB
Heap used for terms,,0.117401123046875,MB
Heap used for norms,,0.01702880859375,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.01798248291015625,MB
Segment count,,37,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,40.63,docs/s
Mean Throughput,bulk,126.95,docs/s
Median Throughput,bulk,129.88,docs/s
Max Throughput,bulk,218.69,docs/s
50th percentile latency,bulk,1017.6417864859104,ms
90th percentile latency,bulk,1843.882984481752,ms
99th percentile latency,bulk,2976.7374861985445,ms
99.9th percentile latency,bulk,3926.197192631838,ms
99.99th percentile latency,bulk,4671.598513610645,ms
100th percentile latency,bulk,4761.732405051589,ms
50th percentile service time,bulk,1017.6417864859104,ms
90th percentile service time,bulk,1843.882984481752,ms
99th percentile service time,bulk,2976.7374861985445,ms
99.9th percentile service time,bulk,3926.197192631838,ms
99.99th percentile service time,bulk,4671.598513610645,ms
100th percentile service time,bulk,4761.732405051589,ms
error rate,bulk,0.00,%
