Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.9041666666666666,min
Min cumulative indexing time across primary shards,,0.043666666666666666,min
Median cumulative indexing time across primary shards,,0.34563333333333335,min
Max cumulative indexing time across primary shards,,0.4728333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.2798666666666667,min
Cumulative merge count of primary shards,,3,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.04413333333333334,min
Max cumulative merge time across primary shards,,0.10113333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.25766666666666665,min
Cumulative refresh count of primary shards,,76,
Min cumulative refresh time across primary shards,,0.0056,min
Median cumulative refresh time across primary shards,,0.022424999999999997,min
Max cumulative refresh time across primary shards,,0.16335,min
Cumulative flush time of primary shards,,0.00705,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.00705,min
Total Young Gen GC time,,0.356,s
Total Young Gen GC count,,8,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.31412592716515064,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.29332733154296875,MB
Heap used for doc values,,0.01364898681640625,MB
Heap used for terms,,0.2216796875,MB
Heap used for norms,,0.02734375,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0306549072265625,MB
Segment count,,62,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,817.62,docs/s
Mean Throughput,bulk,2648.67,docs/s
Median Throughput,bulk,2847.62,docs/s
Max Throughput,bulk,3005.22,docs/s
50th percentile latency,bulk,45.27584929019213,ms
90th percentile latency,bulk,55.56975770741701,ms
99th percentile latency,bulk,137.68773898482323,ms
99.9th percentile latency,bulk,270.12011967602444,ms
99.99th percentile latency,bulk,482.7842386439412,ms
100th percentile latency,bulk,8034.2197408899665,ms
50th percentile service time,bulk,45.27584929019213,ms
90th percentile service time,bulk,55.56975770741701,ms
99th percentile service time,bulk,137.68773898482323,ms
99.9th percentile service time,bulk,270.12011967602444,ms
99.99th percentile service time,bulk,482.7842386439412,ms
100th percentile service time,bulk,8034.2197408899665,ms
error rate,bulk,0.00,%
