Metric,Task,Baseline,Contender,Diff,Unit,Diff %
Cumulative indexing time of primary shards,,1.8918,2.0854666666666666,+0.19367,min,+10.24%
Min cumulative indexing time across primary shard,,0.04226666666666667,0.04226666666666667,0.00000,min,0.00%
Median cumulative indexing time across primary shard,,0.34205,0.40262499999999996,+0.06058,min,+17.71%
Max cumulative indexing time across primary shard,,0.47988333333333333,0.43648333333333333,-0.04340,min,-9.04%
Cumulative indexing throttle time of primary shards,,0,0,0.00000,min,0.00%
Min cumulative indexing throttle time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative indexing throttle time across primary shard,,0.0,0.0,0.00000,min,0.00%
Max cumulative indexing throttle time across primary shard,,0,0,0.00000,min,0.00%
Cumulative merge time of primary shards,,0.3646333333333333,0.00715,-0.35748,min,-98.04%
Cumulative merge count of primary shards,,4,5,+1.00000,,+25.00%
Min cumulative merge time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative merge time across primary shard,,0.08505,0.0012,-0.08385,min,-98.59%
Max cumulative merge time across primary shard,,0.10333333333333333,0.001983333333333333,-0.10135,min,-98.08%
Cumulative merge throttle time of primary shards,,0,0,0.00000,min,0.00%
Min cumulative merge throttle time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative merge throttle time across primary shard,,0.0,0.0,0.00000,min,0.00%
Max cumulative merge throttle time across primary shard,,0,0,0.00000,min,0.00%
Cumulative refresh time of primary shards,,0.25148333333333334,0.0258,-0.22568,min,-89.74%
Cumulative refresh count of primary shards,,76,101,+25.00000,,+32.89%
Min cumulative refresh time across primary shard,,0.0043,0.0038833333333333337,-0.00042,min,-9.69%
Median cumulative refresh time across primary shard,,0.02575,0.004350000000000001,-0.02140,min,-83.11%
Max cumulative refresh time across primary shard,,0.14243333333333333,0.004699999999999999,-0.13773,min,-96.70%
Cumulative flush time of primary shards,,0.0066500000000000005,0.0066500000000000005,0.00000,min,0.00%
Cumulative flush count of primary shards,,4,4,0.00000,,0.00%
Min cumulative flush time across primary shard,,0,0,0.00000,min,0.00%
Median cumulative flush time across primary shard,,0.0,0.0,0.00000,min,0.00%
Max cumulative flush time across primary shard,,0.0066500000000000005,0.0066500000000000005,0.00000,min,0.00%
Total Young Gen GC time,,0.332,0.177,-0.15500,s,-46.69%
Total Young Gen GC count,,10,5,-5.00000,,-50.00%
Total Old Gen GC time,,0,0,0.00000,s,0.00%
Total Old Gen GC count,,0,0,0.00000,,0.00%
Store size,,0.3144798940047622,0.7523424150422215,+0.43786,GB,+139.23%
Translog size,,0.3605366749688983,1.0002232333645225,+0.63969,GB,+177.43%
Heap used for segments,,0.2943229675292969,0.19636154174804688,-0.09796,MB,-33.28%
Heap used for doc values,,0.015644073486328125,0.021106719970703125,+0.00546,MB,+34.92%
Heap used for terms,,0.22119140625,0.1353759765625,-0.08582,MB,-38.80%
Heap used for norms,,0.02734375,0.019775390625,-0.00757,MB,-27.68%
Heap used for points,,0,0,0.00000,MB,0.00%
Heap used for stored fields,,0.03014373779296875,0.02010345458984375,-0.01004,MB,-33.31%
Segment count,,61,41,-20.00000,,-32.79%
Total Ingest Pipeline count,,0,0,0.00000,,0.00%
Total Ingest Pipeline time,,0,0,0.00000,ms,0.00%
Total Ingest Pipeline failed,,0,0,0.00000,,0.00%
Min Throughput,bulk,732.935240061706,45.69652515861341,-687.23871,docs/s,-93.77%
Mean Throughput,bulk,2397.0437054029076,198.22026303605773,-2198.82344,docs/s,-91.73%
Median Throughput,bulk,2567.641917457495,195.68436250826994,-2371.95755,docs/s,-92.38%
Max Throughput,bulk,2787.255534498765,227.9285940712429,-2559.32694,docs/s,-91.82%
50th percentile latency,bulk,49.08867401536554,737.0395680190995,+687.95089,ms,+1401.45%
90th percentile latency,bulk,62.80650198459625,1326.511867926456,+1263.70537,ms,+2012.06%
99th percentile latency,bulk,127.51118303276598,2124.3978459388018,+1996.88666,ms,+1566.05%
99.9th percentile latency,bulk,284.837318002257,2917.4251540099353,+2632.58784,ms,+924.24%
99.99th percentile latency,bulk,466.1245989846062,3291.497835889196,+2825.37324,ms,+606.14%
100th percentile latency,bulk,7320.498695014976,3471.898386022076,-3848.60031,ms,-52.57%
50th percentile service time,bulk,49.08867401536554,737.0395680190995,+687.95089,ms,+1401.45%
90th percentile service time,bulk,62.80650198459625,1326.511867926456,+1263.70537,ms,+2012.06%
99th percentile service time,bulk,127.51118303276598,2124.3978459388018,+1996.88666,ms,+1566.05%
99.9th percentile service time,bulk,284.837318002257,2917.4251540099353,+2632.58784,ms,+924.24%
99.99th percentile service time,bulk,466.1245989846062,3291.497835889196,+2825.37324,ms,+606.14%
100th percentile service time,bulk,7320.498695014976,3471.898386022076,-3848.60031,ms,-52.57%
error rate,bulk,0.0,0.0,0.00000,%,0.00%
