Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.02755,min
Min cumulative indexing time across primary shards,,0.0039499999999999995,min
Median cumulative indexing time across primary shards,,0.004866666666666667,min
Max cumulative indexing time across primary shards,,0.0073,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.009066666666666667,min
Cumulative refresh count of primary shards,,15,
Min cumulative refresh time across primary shards,,0.0014666666666666667,min
Median cumulative refresh time across primary shards,,0.0017,min
Max cumulative refresh time across primary shards,,0.002533333333333333,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.0002714330330491066,GB
Translog size,,0.0018652798607945442,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,7,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,49.84,docs/s
Mean Throughput,bulk,173.31,docs/s
Median Throughput,bulk,149.57,docs/s
Max Throughput,bulk,320.52,docs/s
50th percentile latency,bulk,179.94574200000102,ms
90th percentile latency,bulk,908.7804750000004,ms
100th percentile latency,bulk,1001.1697070000025,ms
50th percentile service time,bulk,179.94574200000102,ms
90th percentile service time,bulk,908.7804750000004,ms
100th percentile service time,bulk,1001.1697070000025,ms
error rate,bulk,0.00,%
