Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6618833333333332,min
Min cumulative indexing time across primary shards,,0.3234166666666667,min
Median cumulative indexing time across primary shards,,0.3313833333333333,min
Max cumulative indexing time across primary shards,,0.33823333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.03663333333333333,min
Cumulative merge count of primary shards,,1,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0.03663333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.11956666666666667,min
Cumulative refresh count of primary shards,,60,
Min cumulative refresh time across primary shards,,0.019266666666666665,min
Median cumulative refresh time across primary shards,,0.02475,min
Max cumulative refresh time across primary shards,,0.027566666666666666,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,1.052,s
Total Young Gen GC count,,12,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.24608321860432625,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,51,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,875.19,docs/s
Mean Throughput,bulk,2808.26,docs/s
Median Throughput,bulk,3039.32,docs/s
Max Throughput,bulk,3273.72,docs/s
50th percentile latency,bulk,41.706198500008895,ms
90th percentile latency,bulk,50.63778049998858,ms
99th percentile latency,bulk,108.5776231299882,ms
99.9th percentile latency,bulk,331.7951664050203,ms
99.99th percentile latency,bulk,447.52413968798686,ms
100th percentile latency,bulk,450.0293620000093,ms
50th percentile service time,bulk,41.706198500008895,ms
90th percentile service time,bulk,50.63778049998858,ms
99th percentile service time,bulk,108.5776231299882,ms
99.9th percentile service time,bulk,331.7951664050203,ms
99.99th percentile service time,bulk,447.52413968798686,ms
100th percentile service time,bulk,450.0293620000093,ms
error rate,bulk,0.00,%
