Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.4250333333333332,min
Min cumulative indexing time across primary shards,,0.2783833333333333,min
Median cumulative indexing time across primary shards,,0.2838,min
Max cumulative indexing time across primary shards,,0.29100000000000004,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.11225,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.00875,min
Median cumulative merge time across primary shards,,0.025449999999999997,min
Max cumulative merge time across primary shards,,0.02815,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0832,min
Cumulative refresh count of primary shards,,72,
Min cumulative refresh time across primary shards,,0.015633333333333332,min
Median cumulative refresh time across primary shards,,0.016766666666666666,min
Max cumulative refresh time across primary shards,,0.017516666666666666,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.236,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.24770610593259335,GB
Translog size,,0.39984622690826654,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,18,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1581.44,docs/s
Mean Throughput,bulk,3050.03,docs/s
Median Throughput,bulk,3088.84,docs/s
Max Throughput,bulk,3108.68,docs/s
50th percentile latency,bulk,45.19741499998986,ms
90th percentile latency,bulk,57.67838179997966,ms
99th percentile latency,bulk,79.07670979999578,ms
99.9th percentile latency,bulk,324.584167113008,ms
99.99th percentile latency,bulk,702.6469072610031,ms
100th percentile latency,bulk,702.7185410000243,ms
50th percentile service time,bulk,45.19741499998986,ms
90th percentile service time,bulk,57.67838179997966,ms
99th percentile service time,bulk,79.07670979999578,ms
99.9th percentile service time,bulk,324.584167113008,ms
99.99th percentile service time,bulk,702.6469072610031,ms
100th percentile service time,bulk,702.7185410000243,ms
error rate,bulk,0.00,%
