Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.02235,min
Min cumulative indexing time across primary shards,,0.00335,min
Median cumulative indexing time across primary shards,,0.0045000000000000005,min
Max cumulative indexing time across primary shards,,0.005416666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.011066666666666667,min
Cumulative refresh count of primary shards,,15,
Min cumulative refresh time across primary shards,,0.0016166666666666666,min
Median cumulative refresh time across primary shards,,0.0019333333333333333,min
Max cumulative refresh time across primary shards,,0.0030499999999999998,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.0003367355093359947,GB
Translog size,,0.0018652798607945442,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,5,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,48.65,docs/s
Mean Throughput,bulk,160.29,docs/s
Median Throughput,bulk,123.59,docs/s
Max Throughput,bulk,308.64,docs/s
50th percentile latency,bulk,220.5164899999943,ms
90th percentile latency,bulk,904.8159459999994,ms
100th percentile latency,bulk,1025.7631629999935,ms
50th percentile service time,bulk,220.5164899999943,ms
90th percentile service time,bulk,904.8159459999994,ms
100th percentile service time,bulk,1025.7631629999935,ms
error rate,bulk,0.00,%
