Percentage served,Time in ms
0,1.603
1,1.983
2,2.169
3,2.362
4,2.533
5,2.622
6,2.743
7,2.841
8,3.004
9,3.129
10,3.238
11,3.409
12,3.505
13,3.635
14,3.691
15,3.793
16,3.944
17,4.091
18,4.176
19,4.310
20,4.353
21,4.495
22,4.592
23,4.739
24,4.874
25,4.979
26,5.078
27,5.178
28,5.350
29,5.505
30,5.600
31,5.748
32,5.800
33,5.956
34,6.058
35,6.224
36,6.338
37,6.473
38,6.523
39,6.636
40,6.745
41,6.828
42,6.891
43,6.994
44,7.049
45,7.140
46,7.192
47,7.263
48,7.338
49,7.374
50,7.419
51,7.528
52,7.606
53,7.713
54,7.801
55,7.915
56,8.004
57,8.109
58,8.182
59,8.320
60,8.396
61,8.461
62,8.535
63,8.587
64,8.660
65,8.756
66,8.829
67,8.930
68,9.034
69,9.170
70,9.308
71,9.543
72,9.738
73,9.930
74,10.246
75,10.683
76,10.976
77,11.224
78,11.618
79,11.863
80,11.956
81,12.266
82,12.403
83,12.767
84,13.304
85,13.786
86,14.572
87,15.717
88,22.168
89,33.948
90,40.720
91,43.457
92,44.674
93,45.874
94,46.937
95,47.923
96,49.354
97,50.881
98,51.856
99,53.309
100,56.001
