Percentage served,Time in ms
0,1.553
1,2.191
2,2.382
3,2.545
4,2.687
5,2.911
6,3.077
7,3.281
8,3.369
9,3.519
10,3.607
11,3.762
12,3.902
13,3.993
14,4.142
15,4.215
16,4.290
17,4.374
18,4.446
19,4.483
20,4.617
21,4.690
22,4.778
23,4.813
24,4.873
25,4.986
26,5.078
27,5.156
28,5.207
29,5.284
30,5.392
31,5.482
32,5.533
33,5.593
34,5.647
35,5.693
36,5.770
37,5.924
38,6.097
39,6.196
40,6.298
41,6.383
42,6.450
43,6.554
44,6.619
45,6.703
46,6.758
47,6.820
48,6.886
49,7.024
50,7.110
51,7.212
52,7.370
53,7.492
54,7.576
55,7.620
56,7.747
57,7.849
58,7.947
59,8.063
60,8.164
61,8.229
62,8.287
63,8.376
64,8.502
65,8.586
66,8.719
67,8.892
68,9.030
69,9.169
70,9.329
71,9.444
72,9.534
73,9.653
74,9.809
75,9.995
76,10.219
77,10.381
78,10.614
79,10.744
80,10.992
81,11.345
82,11.772
83,12.110
84,12.534
85,13.193
86,14.533
87,16.452
88,24.262
89,45.259
90,47.228
91,48.446
92,50.018
93,51.800
94,52.931
95,53.504
96,54.526
97,55.728
98,57.427
99,60.542
100,17906.749
