Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.005216666666666666,min
Min cumulative indexing time across primary shards,,0.0007833333333333334,min
Median cumulative indexing time across primary shards,,0.0010166666666666666,min
Max cumulative indexing time across primary shards,,0.0013,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0035,min
Cumulative refresh count of primary shards,,15,
Min cumulative refresh time across primary shards,,0.0005833333333333334,min
Median cumulative refresh time across primary shards,,0.0007333333333333333,min
Max cumulative refresh time across primary shards,,0.0008333333333333334,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.0008344817906618118,GB
Translog size,,0.0007617147639393806,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,5,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1035.37,docs/s
Mean Throughput,bulk,1035.37,docs/s
Median Throughput,bulk,1035.37,docs/s
Max Throughput,bulk,1035.37,docs/s
50th percentile latency,bulk,51.962732000006895,ms
90th percentile latency,bulk,309.20530100000576,ms
100th percentile latency,bulk,316.35359700000265,ms
50th percentile service time,bulk,51.962732000006895,ms
90th percentile service time,bulk,309.20530100000576,ms
100th percentile service time,bulk,316.35359700000265,ms
error rate,bulk,0.00,%
