Percentage served,Time in ms
0,16.958
1,30.549
2,32.795
3,34.693
4,36.696
5,37.889
6,38.870
7,39.808
8,41.436
9,42.198
10,43.103
11,44.105
12,46.170
13,73.164
14,80.985
15,82.173
16,84.068
17,84.547
18,85.282
19,85.712
20,86.157
21,86.501
22,86.794
23,87.074
24,87.403
25,87.673
26,88.018
27,88.228
28,88.447
29,88.648
30,88.914
31,89.256
32,89.589
33,89.773
34,90.017
35,90.306
36,90.594
37,90.805
38,91.061
39,91.211
40,91.421
41,91.554
42,91.689
43,91.976
44,92.169
45,92.271
46,92.410
47,92.612
48,92.817
49,92.988
50,93.226
51,93.489
52,93.730
53,93.990
54,94.142
55,94.327
56,94.517
57,94.721
58,94.979
59,95.143
60,95.297
61,95.570
62,96.019
63,96.316
64,96.586
65,96.721
66,97.012
67,97.314
68,97.533
69,97.921
70,98.260
71,98.814
72,99.238
73,99.958
74,100.616
75,101.213
76,101.842
77,102.943
78,104.067
79,104.871
80,106.248
81,107.569
82,108.514
83,109.113
84,110.758
85,113.132
86,114.847
87,119.180
88,121.041
89,122.796
90,128.067
91,158.940
92,162.580
93,165.343
94,172.561
95,174.411
96,179.837
97,195.580
98,198.899
99,287.400
100,301.602
