Percentage served,Time in ms
0,7.954
1,16.421
2,17.194
3,17.612
4,17.996
5,18.261
6,18.555
7,18.717
8,19.120
9,19.387
10,19.684
11,19.947
12,20.203
13,20.359
14,20.637
15,20.920
16,21.160
17,21.552
18,21.820
19,22.351
20,22.509
21,22.903
22,23.101
23,23.445
24,23.912
25,24.169
26,24.601
27,24.757
28,25.047
29,25.422
30,25.705
31,25.907
32,26.158
33,26.605
34,26.931
35,27.344
36,27.981
37,28.240
38,28.849
39,29.356
40,29.787
41,30.183
42,30.719
43,31.500
44,32.145
45,33.072
46,34.619
47,36.411
48,37.671
49,40.607
50,63.770
51,66.446
52,67.055
53,67.580
54,68.089
55,68.383
56,68.903
57,69.246
58,69.560
59,69.813
60,70.095
61,70.284
62,70.810
63,71.064
64,71.447
65,71.652
66,72.050
67,72.206
68,72.584
69,72.912
70,73.255
71,73.685
72,73.917
73,74.410
74,74.653
75,74.952
76,75.202
77,75.433
78,75.850
79,76.157
80,76.569
81,77.377
82,77.761
83,78.329
84,78.782
85,79.536
86,79.835
87,80.386
88,80.718
89,81.178
90,81.571
91,82.150
92,82.921
93,83.941
94,84.419
95,85.572
96,86.339
97,88.525
98,91.501
99,95.040
100,21837.260
