Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.8697166666666667,min
Min cumulative indexing time across primary shards,,0.3633166666666667,min
Median cumulative indexing time across primary shards,,0.37256666666666666,min
Max cumulative indexing time across primary shards,,0.39213333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.01535,min
Cumulative merge count of primary shards,,1,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0.01535,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.13613333333333333,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.024550000000000002,min
Median cumulative refresh time across primary shards,,0.025983333333333334,min
Max cumulative refresh time across primary shards,,0.03326666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,1.457,s
Total Young Gen GC count,,10,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.23672856949269772,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,47,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1249.02,docs/s
Mean Throughput,bulk,2892.18,docs/s
Median Throughput,bulk,2945.61,docs/s
Max Throughput,bulk,3045.79,docs/s
50th percentile latency,bulk,45.910221500008674,ms
90th percentile latency,bulk,58.15126080001959,ms
99th percentile latency,bulk,88.96078780997863,ms
99.9th percentile latency,bulk,301.7758416130139,ms
99.99th percentile latency,bulk,454.7229299999935,ms
100th percentile latency,bulk,455.7790460000035,ms
50th percentile service time,bulk,45.910221500008674,ms
90th percentile service time,bulk,58.15126080001959,ms
99th percentile service time,bulk,88.96078780997863,ms
99.9th percentile service time,bulk,301.7758416130139,ms
99.99th percentile service time,bulk,454.7229299999935,ms
100th percentile service time,bulk,455.7790460000035,ms
error rate,bulk,0.00,%
