Percentage served,Time in ms
0,1.543
1,2.357
2,3.091
3,3.410
4,3.709
5,3.901
6,4.069
7,4.239
8,4.354
9,4.482
10,4.607
11,4.741
12,4.921
13,5.112
14,5.311
15,5.540
16,5.669
17,5.800
18,5.915
19,6.012
20,6.167
21,6.258
22,6.381
23,6.477
24,6.651
25,6.767
26,6.865
27,6.950
28,7.060
29,7.180
30,7.240
31,7.285
32,7.453
33,7.560
34,7.676
35,7.844
36,7.950
37,8.042
38,8.237
39,8.349
40,8.483
41,8.634
42,8.794
43,8.954
44,9.009
45,9.138
46,9.288
47,9.411
48,9.584
49,9.709
50,9.784
51,10.036
52,10.301
53,10.497
54,10.762
55,10.947
56,11.031
57,11.294
58,11.547
59,11.668
60,11.861
61,12.075
62,12.248
63,12.448
64,12.710
65,13.019
66,13.297
67,13.575
68,13.713
69,13.849
70,14.010
71,14.658
72,15.188
73,15.586
74,15.828
75,16.349
76,17.170
77,18.174
78,19.328
79,20.125
80,21.664
81,23.705
82,29.253
83,45.360
84,49.602
85,51.353
86,52.313
87,53.733
88,54.963
89,55.438
90,56.463
91,57.148
92,57.669
93,58.990
94,59.910
95,60.967
96,62.228
97,63.348
98,65.195
99,67.576
100,19710.251
