Percentage served,Time in ms
0,14.575
1,19.946
2,20.647
3,21.529
4,22.764
5,23.061
6,23.736
7,24.150
8,25.025
9,25.579
10,26.276
11,26.709
12,26.883
13,27.699
14,28.238
15,28.801
16,29.564
17,30.266
18,31.000
19,31.327
20,32.297
21,33.310
22,34.164
23,35.438
24,36.471
25,38.351
26,39.545
27,42.431
28,46.925
29,69.308
30,70.806
31,71.753
32,72.099
33,72.676
34,73.188
35,73.803
36,74.252
37,74.930
38,75.578
39,75.946
40,76.274
41,76.561
42,76.988
43,77.517
44,78.259
45,78.849
46,79.313
47,79.845
48,80.403
49,80.892
50,81.166
51,81.826
52,82.325
53,82.659
54,83.000
55,83.400
56,83.808
57,84.107
58,84.354
59,85.024
60,85.426
61,85.934
62,86.479
63,87.084
64,87.760
65,88.346
66,89.022
67,89.662
68,90.315
69,91.070
70,91.828
71,92.401
72,92.942
73,93.811
74,94.292
75,94.775
76,95.166
77,96.285
78,96.898
79,97.812
80,98.404
81,99.197
82,99.809
83,100.434
84,101.451
85,102.485
86,103.271
87,104.594
88,105.718
89,106.370
90,107.741
91,109.030
92,110.246
93,114.641
94,116.698
95,121.992
96,153.553
97,159.796
98,166.662
99,185.164
100,20454.356
