Percentage served,Time in ms
0,9.799
1,12.510
2,13.164
3,13.785
4,14.363
5,14.769
6,15.316
7,15.719
8,15.974
9,16.269
10,16.630
11,17.177
12,17.431
13,17.742
14,18.168
15,18.392
16,18.774
17,19.039
18,19.322
19,19.672
20,20.155
21,20.670
22,20.987
23,21.375
24,21.691
25,21.956
26,22.148
27,22.367
28,22.893
29,23.235
30,23.487
31,23.745
32,23.905
33,24.129
34,24.248
35,24.453
36,24.636
37,24.811
38,25.123
39,25.402
40,25.549
41,25.771
42,25.874
43,26.060
44,26.283
45,26.521
46,26.792
47,26.900
48,27.182
49,27.385
50,27.658
51,27.902
52,28.253
53,28.591
54,28.931
55,29.359
56,29.713
57,30.207
58,30.629
59,31.129
60,31.850
61,32.542
62,33.020
63,34.372
64,35.778
65,39.168
66,43.118
67,45.750
68,47.785
69,48.553
70,49.545
71,50.679
72,51.181
73,51.928
74,52.367
75,53.224
76,54.084
77,54.510
78,54.948
79,55.735
80,56.422
81,57.189
82,57.674
83,58.337
84,59.104
85,60.244
86,60.657
87,61.045
88,61.866
89,62.575
90,63.149
91,64.042
92,64.457
93,65.145
94,65.949
95,66.390
96,66.927
97,67.891
98,69.017
99,72.071
100,88.222
