Percentage served,Time in ms
0,11.467
1,13.760
2,14.144
3,14.529
4,14.836
5,15.473
6,16.041
7,16.574
8,16.965
9,17.390
10,17.740
11,17.921
12,18.162
13,18.555
14,18.735
15,19.176
16,19.417
17,19.738
18,20.077
19,20.472
20,21.038
21,21.388
22,21.662
23,21.984
24,22.240
25,22.564
26,23.058
27,23.295
28,23.612
29,23.822
30,24.051
31,24.330
32,24.613
33,24.961
34,25.447
35,25.789
36,26.073
37,26.152
38,26.584
39,26.924
40,27.358
41,27.807
42,28.132
43,28.658
44,29.034
45,29.557
46,29.833
47,30.211
48,30.618
49,30.947
50,31.320
51,32.084
52,32.861
53,33.393
54,34.754
55,36.219
56,38.295
57,40.107
58,42.316
59,45.733
60,49.694
61,51.189
62,52.947
63,54.349
64,55.543
65,56.770
66,57.760
67,58.712
68,59.102
69,60.085
70,60.926
71,61.434
72,62.004
73,62.509
74,63.087
75,63.499
76,64.143
77,64.660
78,65.395
79,65.911
80,66.642
81,67.284
82,67.918
83,68.380
84,68.875
85,69.373
86,69.857
87,70.448
88,70.947
89,71.492
90,72.204
91,72.993
92,74.059
93,74.611
94,75.526
95,76.328
96,77.204
97,78.812
98,85.094
99,119.402
100,21358.558
