Percentage served,Time in ms
0,11.778
1,28.890
2,33.624
3,35.445
4,37.695
5,39.398
6,41.029
7,43.267
8,44.633
9,46.380
10,67.096
11,79.115
12,81.414
13,82.444
14,83.065
15,84.090
16,84.793
17,85.617
18,86.291
19,87.012
20,87.745
21,88.190
22,88.722
23,89.287
24,89.531
25,89.901
26,90.205
27,90.668
28,91.191
29,91.407
30,91.692
31,91.957
32,92.202
33,92.449
34,92.634
35,92.847
36,93.097
37,93.244
38,93.524
39,93.775
40,94.054
41,94.224
42,94.447
43,94.752
44,95.062
45,95.164
46,95.316
47,95.501
48,95.592
49,95.882
50,96.056
51,96.405
52,96.591
53,96.700
54,96.962
55,97.127
56,97.305
57,97.561
58,97.717
59,97.940
60,98.312
61,98.624
62,98.923
63,99.186
64,99.343
65,99.589
66,99.803
67,100.084
68,100.338
69,100.759
70,101.110
71,101.516
72,102.029
73,102.719
74,103.195
75,103.846
76,104.528
77,105.172
78,105.730
79,106.468
80,107.600
81,108.255
82,109.837
83,110.846
84,113.531
85,116.768
86,121.578
87,124.364
88,127.041
89,130.542
90,136.211
91,153.911
92,156.873
93,162.239
94,170.432
95,175.017
96,182.668
97,189.656
98,209.458
99,301.631
100,488.538
