Percentage served,Time in ms
0,12.980
1,16.355
2,19.134
3,19.980
4,20.393
5,20.995
6,21.332
7,21.732
8,22.452
9,22.894
10,23.204
11,24.079
12,24.601
13,25.291
14,25.721
15,26.188
16,26.709
17,27.172
18,28.192
19,28.717
20,29.788
21,30.340
22,31.170
23,32.407
24,32.974
25,34.322
26,35.437
27,37.383
28,39.492
29,42.081
30,67.175
31,70.071
32,71.060
33,71.798
34,72.490
35,72.976
36,73.540
37,74.009
38,74.290
39,74.751
40,75.454
41,75.873
42,76.697
43,77.194
44,77.708
45,78.144
46,78.837
47,79.593
48,79.998
49,80.526
50,81.233
51,81.650
52,82.097
53,82.496
54,83.009
55,83.403
56,83.794
57,84.230
58,84.747
59,85.335
60,85.819
61,86.399
62,86.688
63,87.101
64,87.650
65,88.142
66,88.594
67,89.016
68,89.538
69,90.150
70,90.590
71,91.290
72,92.010
73,92.543
74,93.069
75,93.850
76,94.297
77,94.783
78,95.563
79,96.241
80,96.753
81,97.263
82,97.911
83,99.028
84,99.531
85,100.374
86,101.849
87,102.852
88,103.941
89,105.103
90,106.758
91,107.852
92,109.225
93,112.786
94,116.964
95,119.986
96,130.639
97,154.129
98,166.668
99,174.293
100,17238.200
