Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.9288833333333335,min
Min cumulative indexing time across primary shards,,0.36125,min
Median cumulative indexing time across primary shards,,0.3651,min
Max cumulative indexing time across primary shards,,0.4673,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.22319999999999998,min
Cumulative refresh count of primary shards,,61,
Min cumulative refresh time across primary shards,,0.0208,min
Median cumulative refresh time across primary shards,,0.0249,min
Max cumulative refresh time across primary shards,,0.12888333333333332,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.38,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.2582027539610863,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,52,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,790.67,docs/s
Mean Throughput,bulk,2807.33,docs/s
Median Throughput,bulk,3030.32,docs/s
Max Throughput,bulk,3129.43,docs/s
50th percentile latency,bulk,44.60374800000011,ms
90th percentile latency,bulk,51.90196199999377,ms
99th percentile latency,bulk,99.41022330999596,ms
99.9th percentile latency,bulk,297.6306338970025,ms
99.99th percentile latency,bulk,427.07638267797523,ms
100th percentile latency,bulk,6185.05058300002,ms
50th percentile service time,bulk,44.60374800000011,ms
90th percentile service time,bulk,51.90196199999377,ms
99th percentile service time,bulk,99.41022330999596,ms
99.9th percentile service time,bulk,297.6306338970025,ms
99.99th percentile service time,bulk,427.07638267797523,ms
100th percentile service time,bulk,6185.05058300002,ms
error rate,bulk,0.00,%
