Percentage served,Time in ms
0,7.782
1,8.434
2,9.076
3,9.458
4,9.861
5,10.300
6,10.464
7,10.575
8,10.689
9,10.780
10,10.895
11,11.100
12,11.187
13,11.259
14,11.321
15,11.424
16,11.548
17,11.617
18,11.664
19,11.732
20,11.766
21,11.825
22,11.867
23,11.958
24,12.042
25,12.076
26,12.113
27,12.156
28,12.194
29,12.221
30,12.253
31,12.279
32,12.319
33,12.360
34,12.445
35,12.506
36,12.566
37,12.606
38,12.670
39,12.694
40,12.708
41,12.749
42,12.781
43,12.822
44,12.859
45,12.936
46,12.962
47,13.035
48,13.099
49,13.141
50,13.171
51,13.200
52,13.220
53,13.263
54,13.323
55,13.384
56,13.430
57,13.447
58,13.497
59,13.518
60,13.548
61,13.594
62,13.615
63,13.678
64,13.726
65,13.752
66,13.769
67,13.802
68,13.862
69,13.951
70,13.976
71,14.038
72,14.102
73,14.145
74,14.222
75,14.270
76,14.334
77,14.438
78,14.601
79,14.716
80,14.785
81,14.867
82,14.954
83,15.105
84,15.194
85,15.235
86,15.301
87,15.446
88,15.634
89,15.893
90,16.041
91,16.247
92,16.589
93,17.099
94,17.212
95,17.729
96,18.217
97,18.436
98,33.714
99,47.537
100,49.629
