Percentage served,Time in ms
0,7.673
1,9.205
2,9.769
3,10.254
4,10.532
5,11.162
6,11.590
7,11.665
8,11.846
9,12.091
10,12.237
11,12.353
12,12.458
13,12.590
14,12.709
15,12.814
16,12.959
17,13.011
18,13.088
19,13.201
20,13.251
21,13.306
22,13.354
23,13.407
24,13.468
25,13.520
26,13.576
27,13.636
28,13.734
29,13.787
30,13.827
31,13.858
32,13.943
33,13.982
34,14.010
35,14.077
36,14.151
37,14.173
38,14.198
39,14.226
40,14.282
41,14.327
42,14.383
43,14.426
44,14.447
45,14.494
46,14.542
47,14.622
48,14.673
49,14.737
50,14.791
51,14.858
52,14.898
53,14.951
54,15.038
55,15.057
56,15.099
57,15.143
58,15.200
59,15.279
60,15.358
61,15.395
62,15.441
63,15.565
64,15.630
65,15.678
66,15.736
67,15.793
68,15.851
69,15.913
70,15.962
71,16.021
72,16.061
73,16.219
74,16.304
75,16.326
76,16.393
77,16.499
78,16.619
79,16.646
80,16.788
81,16.845
82,17.091
83,17.175
84,17.485
85,17.693
86,17.724
87,17.846
88,18.143
89,18.432
90,19.017
91,20.426
92,22.620
93,28.196
94,30.226
95,31.270
96,33.104
97,34.183
98,35.521
99,38.527
100,19122.338
