Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.7307166666666667,min
Min cumulative indexing time across primary shards,,0.34096666666666664,min
Median cumulative indexing time across primary shards,,0.34609999999999996,min
Max cumulative indexing time across primary shards,,0.35414999999999996,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.10658333333333332,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.01923333333333333,min
Median cumulative merge time across primary shards,,0.021249999999999998,min
Max cumulative merge time across primary shards,,0.02305,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.06991666666666667,min
Cumulative refresh count of primary shards,,75,
Min cumulative refresh time across primary shards,,0.011966666666666665,min
Median cumulative refresh time across primary shards,,0.013666666666666666,min
Max cumulative refresh time across primary shards,,0.016816666666666664,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.157,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7281845966354012,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,20,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,998.90,docs/s
Mean Throughput,bulk,2652.81,docs/s
Median Throughput,bulk,2675.20,docs/s
Max Throughput,bulk,2709.18,docs/s
50th percentile latency,bulk,51.50137000001109,ms
90th percentile latency,bulk,64.43329139999037,ms
99th percentile latency,bulk,89.50039968002382,ms
99.9th percentile latency,bulk,1155.5102392299925,ms
99.99th percentile latency,bulk,1376.7775373567,ms
100th percentile latency,bulk,1377.156283999966,ms
50th percentile service time,bulk,51.50137000001109,ms
90th percentile service time,bulk,64.43329139999037,ms
99th percentile service time,bulk,89.50039968002382,ms
99.9th percentile service time,bulk,1155.5102392299925,ms
99.99th percentile service time,bulk,1376.7775373567,ms
100th percentile service time,bulk,1377.156283999966,ms
error rate,bulk,0.00,%
