Percentage served,Time in ms
0,4.771
1,6.268
2,6.748
3,7.043
4,7.260
5,7.380
6,7.473
7,7.577
8,7.720
9,7.831
10,7.877
11,7.979
12,8.111
13,8.151
14,8.243
15,8.287
16,8.339
17,8.375
18,8.400
19,8.477
20,8.520
21,8.545
22,8.605
23,8.657
24,8.708
25,8.763
26,8.811
27,8.860
28,8.893
29,8.930
30,9.026
31,9.060
32,9.140
33,9.231
34,9.267
35,9.362
36,9.466
37,9.511
38,9.582
39,9.655
40,9.664
41,9.706
42,9.803
43,9.829
44,9.917
45,9.976
46,10.046
47,10.074
48,10.114
49,10.178
50,10.230
51,10.298
52,10.392
53,10.460
54,10.556
55,10.628
56,10.709
57,10.802
58,10.995
59,11.342
60,11.529
61,11.686
62,11.842
63,12.077
64,12.222
65,12.269
66,12.460
67,12.547
68,12.816
69,13.054
70,13.260
71,13.682
72,14.025
73,14.206
74,14.604
75,15.030
76,16.127
77,16.667
78,17.221
79,19.589
80,21.618
81,34.469
82,46.012
83,47.753
84,50.700
85,53.028
86,54.753
87,55.727
88,56.063
89,56.895
90,57.352
91,57.760
92,58.188
93,58.454
94,59.246
95,59.460
96,59.866
97,61.185
98,62.381
99,66.584
100,68.413
