Percentage served,Time in ms
0,3.771
1,4.528
2,4.683
3,4.807
4,4.900
5,4.970
6,5.038
7,5.147
8,5.201
9,5.294
10,5.323
11,5.361
12,5.416
13,5.441
14,5.480
15,5.522
16,5.547
17,5.600
18,5.623
19,5.660
20,5.701
21,5.718
22,5.735
23,5.752
24,5.788
25,5.830
26,5.846
27,5.854
28,5.878
29,5.899
30,5.914
31,5.946
32,5.972
33,6.018
34,6.054
35,6.094
36,6.102
37,6.137
38,6.193
39,6.222
40,6.258
41,6.274
42,6.304
43,6.338
44,6.417
45,6.447
46,6.514
47,6.539
48,6.575
49,6.632
50,6.697
51,6.744
52,6.782
53,6.889
54,6.967
55,6.996
56,7.033
57,7.067
58,7.148
59,7.228
60,7.347
61,7.547
62,7.655
63,7.710
64,7.852
65,7.913
66,8.070
67,8.320
68,8.461
69,8.621
70,8.949
71,9.185
72,9.411
73,10.002
74,10.383
75,10.734
76,11.168
77,11.843
78,12.618
79,13.398
80,14.322
81,14.602
82,14.834
83,15.305
84,16.414
85,17.619
86,51.184
87,53.107
88,53.993
89,54.689
90,55.166
91,55.661
92,55.878
93,56.126
94,56.958
95,57.497
96,58.132
97,60.322
98,63.135
99,65.407
100,20536.180
