Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.5271333333333332,min
Min cumulative indexing time across primary shards,,0.30111666666666664,min
Median cumulative indexing time across primary shards,,0.30641666666666667,min
Max cumulative indexing time across primary shards,,0.30976666666666663,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.18996666666666667,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.03343333333333333,min
Median cumulative merge time across primary shards,,0.0383,min
Max cumulative merge time across primary shards,,0.04161666666666666,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.10136666666666666,min
Cumulative refresh count of primary shards,,68,
Min cumulative refresh time across primary shards,,0.018016666666666667,min
Median cumulative refresh time across primary shards,,0.020083333333333335,min
Max cumulative refresh time across primary shards,,0.02246666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.366,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.2686595618724823,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,49,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2382.20,docs/s
Mean Throughput,bulk,3515.37,docs/s
Median Throughput,bulk,3545.48,docs/s
Max Throughput,bulk,3642.91,docs/s
50th percentile latency,bulk,39.284801500002686,ms
90th percentile latency,bulk,44.25236409998092,ms
99th percentile latency,bulk,84.14405708997715,ms
99.9th percentile latency,bulk,167.52862203102285,ms
99.99th percentile latency,bulk,606.9819890893829,ms
100th percentile latency,bulk,610.6422269999996,ms
50th percentile service time,bulk,39.284801500002686,ms
90th percentile service time,bulk,44.25236409998092,ms
99th percentile service time,bulk,84.14405708997715,ms
99.9th percentile service time,bulk,167.52862203102285,ms
99.99th percentile service time,bulk,606.9819890893829,ms
100th percentile service time,bulk,610.6422269999996,ms
error rate,bulk,0.00,%
