Percentage served,Time in ms
0,1.454
1,1.812
2,2.043
3,2.258
4,2.364
5,2.490
6,2.599
7,2.717
8,2.826
9,2.902
10,2.943
11,3.009
12,3.079
13,3.208
14,3.287
15,3.349
16,3.493
17,3.584
18,3.669
19,3.730
20,3.803
21,3.849
22,3.889
23,3.941
24,4.004
25,4.053
26,4.073
27,4.174
28,4.262
29,4.336
30,4.403
31,4.508
32,4.574
33,4.635
34,4.735
35,4.768
36,4.808
37,4.875
38,4.944
39,4.986
40,5.053
41,5.123
42,5.204
43,5.308
44,5.418
45,5.510
46,5.584
47,5.755
48,5.793
49,5.882
50,6.018
51,6.116
52,6.168
53,6.318
54,6.443
55,6.572
56,6.671
57,6.803
58,6.922
59,6.988
60,7.150
61,7.267
62,7.370
63,7.454
64,7.565
65,7.662
66,7.767
67,7.898
68,8.000
69,8.149
70,8.278
71,8.555
72,8.797
73,8.946
74,9.201
75,9.379
76,9.603
77,9.792
78,10.064
79,10.236
80,10.436
81,10.765
82,11.011
83,11.335
84,11.585
85,12.364
86,12.828
87,13.270
88,14.714
89,31.678
90,43.118
91,46.615
92,47.627
93,48.750
94,49.843
95,50.706
96,52.125
97,53.021
98,54.911
99,57.250
100,62.157
