Percentage served,Time in ms
0,1.566
1,2.070
2,2.361
3,2.516
4,2.671
5,2.739
6,2.893
7,3.027
8,3.205
9,3.373
10,3.505
11,3.650
12,3.746
13,3.806
14,3.856
15,3.959
16,4.041
17,4.075
18,4.227
19,4.305
20,4.425
21,4.563
22,4.679
23,4.756
24,4.832
25,4.948
26,5.013
27,5.094
28,5.194
29,5.321
30,5.412
31,5.520
32,5.638
33,5.692
34,5.797
35,5.892
36,5.972
37,6.051
38,6.153
39,6.271
40,6.375
41,6.472
42,6.596
43,6.661
44,6.784
45,6.926
46,6.981
47,7.088
48,7.226
49,7.310
50,7.513
51,7.693
52,7.875
53,8.015
54,8.141
55,8.316
56,8.472
57,8.632
58,8.803
59,9.024
60,9.194
61,9.472
62,9.725
63,9.805
64,10.030
65,10.333
66,10.489
67,10.750
68,10.951
69,11.349
70,11.529
71,11.829
72,12.126
73,12.534
74,12.877
75,13.101
76,13.615
77,13.953
78,14.484
79,15.075
80,15.513
81,16.274
82,17.303
83,19.080
84,20.392
85,23.436
86,44.419
87,48.441
88,50.767
89,52.545
90,53.734
91,54.389
92,54.814
93,55.524
94,56.297
95,57.129
96,58.547
97,59.320
98,60.704
99,62.631
100,16701.929
