Percentage served,Time in ms
0,12.159
1,21.762
2,23.447
3,24.339
4,25.071
5,25.554
6,26.176
7,26.877
8,27.410
9,27.741
10,28.018
11,28.801
12,29.475
13,29.919
14,30.365
15,31.137
16,31.621
17,32.366
18,33.032
19,34.017
20,34.844
21,35.673
22,36.869
23,37.667
24,38.391
25,39.597
26,41.320
27,43.240
28,48.366
29,68.910
30,72.009
31,74.382
32,75.711
33,76.171
34,76.793
35,77.398
36,77.726
37,77.999
38,78.422
39,78.732
40,79.027
41,79.315
42,79.694
43,79.898
44,80.159
45,80.677
46,81.089
47,81.325
48,81.661
49,81.974
50,82.341
51,82.885
52,83.278
53,83.579
54,84.003
55,84.243
56,84.655
57,84.872
58,85.148
59,85.400
60,85.663
61,85.843
62,86.100
63,86.464
64,86.760
65,87.033
66,87.364
67,87.718
68,88.031
69,88.485
70,88.855
71,89.375
72,89.964
73,90.263
74,90.684
75,91.298
76,91.701
77,92.511
78,92.932
79,93.397
80,93.817
81,94.303
82,95.197
83,95.804
84,96.749
85,97.097
86,97.361
87,97.956
88,98.518
89,99.280
90,100.001
91,101.392
92,103.227
93,104.767
94,107.587
95,114.133
96,140.421
97,168.205
98,195.169
99,213.602
100,407.734
