Percentage served,Time in ms
0,9.002
1,16.227
2,18.023
3,18.931
4,19.385
5,19.838
6,20.125
7,20.544
8,20.830
9,21.193
10,21.468
11,21.679
12,22.071
13,22.460
14,22.701
15,22.990
16,23.293
17,23.648
18,24.196
19,24.416
20,24.708
21,25.299
22,25.588
23,26.013
24,26.484
25,27.196
26,27.767
27,28.521
28,29.088
29,29.660
30,30.302
31,30.812
32,31.535
33,32.119
34,33.018
35,33.748
36,34.649
37,36.249
38,40.068
39,48.404
40,66.961
41,68.265
42,69.040
43,69.806
44,70.273
45,70.662
46,71.306
47,71.788
48,72.053
49,72.324
50,72.640
51,72.897
52,73.433
53,73.758
54,74.280
55,74.654
56,75.152
57,75.448
58,75.738
59,76.180
60,76.929
61,77.379
62,77.916
63,78.473
64,79.059
65,79.658
66,80.100
67,80.907
68,81.447
69,81.819
70,82.126
71,82.627
72,83.307
73,83.981
74,84.750
75,85.169
76,85.717
77,86.601
78,87.352
79,87.753
80,88.255
81,89.091
82,89.720
83,90.445
84,90.887
85,91.521
86,92.299
87,92.865
88,93.823
89,95.293
90,96.280
91,97.209
92,98.762
93,100.847
94,102.526
95,104.540
96,109.565
97,124.713
98,157.562
99,172.170
100,17501.559
