Percentage served,Time in ms
0,10.840
1,16.042
2,16.277
3,16.666
4,18.414
5,18.536
6,18.568
7,18.590
8,19.806
9,20.526
10,20.569
11,20.699
12,20.776
13,21.674
14,21.795
15,21.930
16,22.337
17,22.402
18,22.671
19,23.250
20,23.911
21,23.965
22,24.042
23,24.844
24,24.849
25,25.022
26,25.068
27,25.491
28,25.680
29,25.739
30,25.891
31,25.908
32,26.164
33,26.320
34,26.382
35,26.393
36,26.704
37,26.782
38,27.416
39,27.643
40,27.675
41,27.716
42,27.931
43,29.032
44,29.256
45,29.446
46,29.699
47,29.767
48,29.798
49,29.880
50,29.915
51,30.455
52,30.600
53,30.891
54,31.271
55,31.325
56,31.658
57,32.239
58,32.448
59,32.478
60,32.576
61,32.952
62,32.981
63,33.159
64,33.421
65,34.233
66,34.250
67,34.703
68,34.800
69,36.628
70,36.656
71,36.799
72,38.342
73,40.888
74,41.961
75,42.519
76,43.493
77,45.390
78,46.192
79,46.415
80,46.640
81,47.221
82,47.427
83,48.098
84,48.305
85,48.646
86,49.026
87,49.131
88,49.818
89,52.585
90,54.122
91,55.131
92,58.276
93,62.247
94,64.791
95,65.616
96,65.671
97,66.023
98,69.003
99,79.231
100,79.231
