Percentage served,Time in ms
0,13.154
1,14.430
2,14.441
3,14.885
4,15.607
5,15.712
6,15.724
7,15.852
8,16.044
9,16.636
10,16.849
11,16.990
12,17.042
13,17.045
14,17.153
15,17.199
16,17.385
17,17.443
18,17.810
19,18.167
20,18.285
21,18.357
22,19.119
23,21.384
24,21.388
25,22.541
26,22.634
27,23.090
28,23.403
29,23.534
30,23.585
31,23.820
32,24.063
33,24.137
34,24.153
35,24.360
36,24.695
37,25.147
38,25.251
39,25.455
40,25.749
41,26.039
42,26.099
43,26.509
44,26.543
45,26.568
46,27.015
47,27.545
48,27.819
49,28.288
50,28.629
51,29.149
52,30.311
53,30.320
54,30.586
55,30.675
56,32.241
57,33.298
58,33.469
59,33.655
60,34.009
61,34.813
62,34.842
63,35.775
64,35.896
65,36.293
66,37.002
67,37.746
68,37.993
69,50.271
70,55.195
71,55.445
72,56.673
73,57.992
74,59.848
75,60.965
76,61.589
77,65.055
78,65.733
79,67.235
80,67.392
81,67.426
82,67.984
83,68.073
84,68.264
85,68.370
86,69.081
87,69.341
88,70.074
89,70.484
90,70.551
91,72.588
92,72.741
93,72.942
94,74.389
95,75.781
96,77.183
97,78.404
98,85.661
99,17613.842
100,17613.842
