Percentage served,Time in ms
0,8.276
1,10.000
2,10.005
3,10.133
4,11.253
5,12.600
6,13.140
7,13.933
8,15.146
9,16.493
10,16.657
11,17.061
12,17.522
13,17.606
14,17.763
15,17.805
16,17.824
17,18.021
18,18.157
19,18.180
20,18.499
21,18.517
22,18.665
23,18.755
24,19.135
25,19.189
26,19.210
27,19.420
28,19.428
29,19.565
30,19.670
31,19.737
32,20.148
33,20.209
34,20.405
35,20.558
36,20.658
37,20.973
38,21.208
39,21.220
40,21.280
41,21.290
42,21.323
43,21.407
44,21.410
45,21.453
46,21.461
47,21.574
48,21.769
49,22.238
50,22.438
51,24.435
52,25.601
53,26.715
54,27.420
55,27.825
56,28.389
57,28.615
58,29.912
59,32.824
60,43.429
61,43.477
62,45.158
63,45.204
64,46.070
65,47.587
66,47.733
67,49.019
68,49.252
69,62.586
70,65.448
71,65.920
72,67.081
73,67.082
74,67.092
75,67.295
76,67.411
77,67.479
78,67.513
79,67.581
80,67.828
81,68.397
82,69.029
83,69.373
84,69.373
85,69.734
86,69.840
87,69.905
88,70.059
89,70.312
90,70.488
91,70.835
92,72.062
93,72.715
94,75.857
95,78.992
96,79.218
97,79.848
98,85.817
99,89.761
100,89.761
