Percentage served,Time in ms
0,11.324
1,11.350
2,11.529
3,11.531
4,12.232
5,12.463
6,12.469
7,12.516
8,12.564
9,12.660
10,12.672
11,12.801
12,12.830
13,12.901
14,12.927
15,13.095
16,13.105
17,13.118
18,13.167
19,13.172
20,13.176
21,13.227
22,13.236
23,13.266
24,13.288
25,13.340
26,13.355
27,13.387
28,13.497
29,13.514
30,13.534
31,13.541
32,13.611
33,13.694
34,13.750
35,13.924
36,13.974
37,13.995
38,14.004
39,14.026
40,14.027
41,14.081
42,14.258
43,14.279
44,14.328
45,14.399
46,14.436
47,14.608
48,14.651
49,14.718
50,14.778
51,14.831
52,14.974
53,15.212
54,15.310
55,15.502
56,16.237
57,16.248
58,16.551
59,16.732
60,16.854
61,16.954
62,17.189
63,17.989
64,18.354
65,18.499
66,18.773
67,18.951
68,19.822
69,20.877
70,21.194
71,21.484
72,22.808
73,22.964
74,23.855
75,24.401
76,25.835
77,27.153
78,32.538
79,60.918
80,61.596
81,61.615
82,61.883
83,62.089
84,62.302
85,62.398
86,62.432
87,63.086
88,63.212
89,63.770
90,64.337
91,65.438
92,66.202
93,67.892
94,70.614
95,70.844
96,72.565
97,73.429
98,76.263
99,19775.209
100,19775.209
