Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.46335,min
Min cumulative indexing time across primary shards,,0.2866,min
Median cumulative indexing time across primary shards,,0.29255000000000003,min
Max cumulative indexing time across primary shards,,0.30015000000000003,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.1693666666666667,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.026366666666666667,min
Median cumulative merge time across primary shards,,0.03503333333333333,min
Max cumulative merge time across primary shards,,0.037950000000000005,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.09580000000000001,min
Cumulative refresh count of primary shards,,68,
Min cumulative refresh time across primary shards,,0.017733333333333334,min
Median cumulative refresh time across primary shards,,0.018933333333333333,min
Max cumulative refresh time across primary shards,,0.020866666666666665,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.218,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.24720050487667322,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,31,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1639.06,docs/s
Mean Throughput,bulk,3252.65,docs/s
Median Throughput,bulk,3270.33,docs/s
Max Throughput,bulk,3403.85,docs/s
50th percentile latency,bulk,42.477767999983485,ms
90th percentile latency,bulk,47.327958500002865,ms
99th percentile latency,bulk,79.87045631000399,ms
99.9th percentile latency,bulk,522.2221186279976,ms
99.99th percentile latency,bulk,1046.723512686098,ms
100th percentile latency,bulk,1047.4547360000201,ms
50th percentile service time,bulk,42.477767999983485,ms
90th percentile service time,bulk,47.327958500002865,ms
99th percentile service time,bulk,79.87045631000399,ms
99.9th percentile service time,bulk,522.2221186279976,ms
99.99th percentile service time,bulk,1046.723512686098,ms
100th percentile service time,bulk,1047.4547360000201,ms
error rate,bulk,0.00,%
