Percentage served,Time in ms
0,7.366
1,8.255
2,8.806
3,8.919
4,9.215
5,9.534
6,9.817
7,9.983
8,10.249
9,10.351
10,10.515
11,10.685
12,10.859
13,10.979
14,11.169
15,11.295
16,11.375
17,11.474
18,11.577
19,11.681
20,11.737
21,11.782
22,11.906
23,11.985
24,12.059
25,12.143
26,12.266
27,12.382
28,12.491
29,12.580
30,12.635
31,12.672
32,12.731
33,12.769
34,12.802
35,12.873
36,12.918
37,12.960
38,13.050
39,13.164
40,13.229
41,13.269
42,13.326
43,13.339
44,13.429
45,13.463
46,13.511
47,13.616
48,13.657
49,13.715
50,13.764
51,13.800
52,13.859
53,13.904
54,13.969
55,14.028
56,14.089
57,14.154
58,14.190
59,14.267
60,14.381
61,14.480
62,14.612
63,14.695
64,14.828
65,14.924
66,14.946
67,14.980
68,15.028
69,15.090
70,15.244
71,15.300
72,15.400
73,15.447
74,15.594
75,15.656
76,15.707
77,15.729
78,15.799
79,15.898
80,16.220
81,16.333
82,16.393
83,16.609
84,16.685
85,17.033
86,17.256
87,17.634
88,17.775
89,18.091
90,18.317
91,18.398
92,18.673
93,19.376
94,20.441
95,21.186
96,22.445
97,26.127
98,28.344
99,34.450
100,43.530
