Percentage served,Time in ms
0,8.037
1,9.271
2,10.084
3,10.536
4,10.834
5,10.991
6,11.058
7,11.415
8,11.605
9,11.676
10,11.743
11,11.840
12,11.933
13,11.980
14,12.148
15,12.205
16,12.273
17,12.366
18,12.426
19,12.545
20,12.593
21,12.682
22,12.720
23,12.805
24,12.834
25,12.890
26,12.949
27,12.993
28,13.065
29,13.113
30,13.192
31,13.255
32,13.313
33,13.377
34,13.417
35,13.484
36,13.560
37,13.642
38,13.688
39,13.750
40,13.792
41,13.850
42,13.915
43,13.959
44,13.970
45,14.025
46,14.061
47,14.097
48,14.127
49,14.214
50,14.247
51,14.279
52,14.315
53,14.336
54,14.379
55,14.429
56,14.494
57,14.524
58,14.574
59,14.622
60,14.673
61,14.704
62,14.735
63,14.765
64,14.868
65,14.932
66,14.967
67,14.997
68,15.111
69,15.190
70,15.253
71,15.317
72,15.419
73,15.449
74,15.520
75,15.649
76,15.728
77,15.763
78,15.803
79,15.893
80,15.946
81,16.012
82,16.076
83,16.113
84,16.157
85,16.210
86,16.402
87,16.532
88,16.629
89,16.807
90,17.013
91,17.441
92,17.700
93,17.877
94,18.567
95,19.644
96,21.319
97,25.555
98,28.746
99,32.229
100,21760.772
