Percentage served,Time in ms
0,4.935
1,7.280
2,7.750
3,7.871
4,8.042
5,8.192
6,8.287
7,8.456
8,8.592
9,8.724
10,8.833
11,8.912
12,8.948
13,9.067
14,9.100
15,9.195
16,9.262
17,9.317
18,9.397
19,9.558
20,9.647
21,9.724
22,9.807
23,9.829
24,9.886
25,9.975
26,10.027
27,10.037
28,10.112
29,10.133
30,10.170
31,10.222
32,10.293
33,10.331
34,10.397
35,10.492
36,10.535
37,10.576
38,10.607
39,10.674
40,10.743
41,10.772
42,10.808
43,10.840
44,10.948
45,10.989
46,11.023
47,11.063
48,11.109
49,11.162
50,11.231
51,11.295
52,11.378
53,11.412
54,11.496
55,11.554
56,11.618
57,11.657
58,11.737
59,11.858
60,11.980
61,12.161
62,12.357
63,12.536
64,12.782
65,13.011
66,13.075
67,13.291
68,13.396
69,13.569
70,13.992
71,14.174
72,14.576
73,15.068
74,15.644
75,18.484
76,20.146
77,20.847
78,22.092
79,52.664
80,55.404
81,56.128
82,56.512
83,56.984
84,57.392
85,57.839
86,58.201
87,58.495
88,58.906
89,59.336
90,59.702
91,60.200
92,60.949
93,61.472
94,61.959
95,63.115
96,64.153
97,65.033
98,66.216
99,69.730
100,72.481
