Percentage served,Time in ms
0,3.371
1,4.328
2,4.541
3,4.665
4,4.780
5,4.868
6,4.998
7,5.082
8,5.160
9,5.193
10,5.218
11,5.232
12,5.245
13,5.252
14,5.277
15,5.308
16,5.362
17,5.385
18,5.405
19,5.433
20,5.487
21,5.534
22,5.574
23,5.598
24,5.608
25,5.631
26,5.683
27,5.717
28,5.740
29,5.749
30,5.807
31,5.837
32,5.900
33,5.923
34,5.969
35,6.005
36,6.010
37,6.047
38,6.072
39,6.100
40,6.117
41,6.131
42,6.157
43,6.169
44,6.190
45,6.223
46,6.248
47,6.275
48,6.311
49,6.321
50,6.337
51,6.390
52,6.432
53,6.454
54,6.484
55,6.523
56,6.558
57,6.652
58,6.706
59,6.737
60,6.835
61,6.856
62,6.971
63,7.031
64,7.244
65,7.389
66,7.448
67,7.582
68,7.678
69,7.898
70,8.125
71,8.286
72,8.659
73,8.820
74,8.988
75,9.088
76,9.457
77,9.857
78,10.272
79,10.777
80,10.943
81,11.102
82,11.873
83,12.952
84,13.809
85,15.109
86,16.300
87,20.439
88,51.013
89,51.516
90,52.594
91,53.064
92,53.573
93,54.284
94,55.186
95,55.676
96,56.401
97,57.137
98,59.193
99,59.850
100,22245.949
