Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6645833333333333,min
Min cumulative indexing time across primary shards,,0.3263333333333333,min
Median cumulative indexing time across primary shards,,0.3317333333333333,min
Max cumulative indexing time across primary shards,,0.3436166666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.14476666666666665,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.02615,min
Median cumulative merge time across primary shards,,0.029433333333333332,min
Max cumulative merge time across primary shards,,0.031083333333333334,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.09656666666666666,min
Cumulative refresh count of primary shards,,70,
Min cumulative refresh time across primary shards,,0.018500000000000003,min
Median cumulative refresh time across primary shards,,0.018733333333333334,min
Max cumulative refresh time across primary shards,,0.0216,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.207,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.22902645729482174,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,15,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2188.23,docs/s
Mean Throughput,bulk,2980.89,docs/s
Median Throughput,bulk,2962.63,docs/s
Max Throughput,bulk,3306.36,docs/s
50th percentile latency,bulk,47.617829499998265,ms
90th percentile latency,bulk,52.232454700001085,ms
99th percentile latency,bulk,85.44730883001186,ms
99.9th percentile latency,bulk,471.73294575406106,ms
99.99th percentile latency,bulk,927.074210205083,ms
100th percentile latency,bulk,941.2425720000215,ms
50th percentile service time,bulk,47.617829499998265,ms
90th percentile service time,bulk,52.232454700001085,ms
99th percentile service time,bulk,85.44730883001186,ms
99.9th percentile service time,bulk,471.73294575406106,ms
99.99th percentile service time,bulk,927.074210205083,ms
100th percentile service time,bulk,941.2425720000215,ms
error rate,bulk,0.00,%
