Percentage served,Time in ms
0,1.805
1,2.163
2,2.514
3,2.812
4,2.935
5,3.108
6,3.225
7,3.365
8,3.492
9,3.659
10,3.760
11,3.815
12,3.912
13,4.038
14,4.121
15,4.182
16,4.261
17,4.394
18,4.518
19,4.606
20,4.664
21,4.718
22,4.796
23,4.851
24,4.935
25,4.979
26,5.034
27,5.117
28,5.213
29,5.301
30,5.413
31,5.485
32,5.543
33,5.624
34,5.730
35,5.802
36,5.921
37,6.037
38,6.105
39,6.236
40,6.296
41,6.383
42,6.447
43,6.526
44,6.563
45,6.607
46,6.658
47,6.694
48,6.741
49,6.791
50,6.831
51,6.907
52,6.953
53,6.984
54,7.043
55,7.091
56,7.147
57,7.189
58,7.233
59,7.254
60,7.374
61,7.429
62,7.480
63,7.579
64,7.625
65,7.662
66,7.722
67,7.803
68,7.874
69,8.006
70,8.098
71,8.235
72,8.296
73,8.408
74,8.573
75,8.679
76,8.899
77,9.033
78,9.245
79,9.472
80,9.659
81,9.957
82,10.230
83,10.651
84,10.926
85,11.291
86,12.076
87,13.345
88,28.484
89,41.658
90,44.676
91,46.761
92,47.330
93,48.168
94,48.630
95,49.268
96,49.877
97,50.887
98,51.932
99,54.221
100,56.130
