Percentage served,Time in ms
0,1.583
1,2.373
2,2.625
3,2.866
4,3.072
5,3.197
6,3.360
7,3.442
8,3.539
9,3.667
10,3.776
11,3.846
12,3.947
13,4.087
14,4.179
15,4.262
16,4.335
17,4.446
18,4.580
19,4.664
20,4.750
21,4.809
22,4.902
23,5.006
24,5.062
25,5.118
26,5.231
27,5.329
28,5.395
29,5.447
30,5.567
31,5.668
32,5.765
33,5.870
34,5.984
35,6.081
36,6.228
37,6.302
38,6.501
39,6.659
40,6.907
41,7.019
42,7.163
43,7.341
44,7.447
45,7.545
46,7.803
47,7.901
48,8.040
49,8.137
50,8.248
51,8.369
52,8.483
53,8.591
54,8.861
55,9.040
56,9.163
57,9.300
58,9.538
59,9.637
60,9.709
61,9.865
62,10.001
63,10.218
64,10.368
65,10.758
66,11.037
67,11.243
68,11.360
69,11.589
70,11.800
71,11.918
72,12.157
73,12.450
74,12.924
75,13.220
76,13.480
77,13.878
78,14.268
79,15.231
80,15.962
81,16.730
82,17.480
83,19.199
84,22.175
85,26.002
86,44.239
87,50.002
88,51.255
89,51.816
90,52.531
91,53.135
92,54.014
93,55.014
94,55.855
95,56.650
96,57.733
97,59.099
98,60.768
99,63.653
100,17591.290
