Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.70945,min
Min cumulative indexing time across primary shards,,0.33275,min
Median cumulative indexing time across primary shards,,0.34341666666666665,min
Max cumulative indexing time across primary shards,,0.3564833333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.21556666666666666,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.029766666666666667,min
Median cumulative merge time across primary shards,,0.048216666666666665,min
Max cumulative merge time across primary shards,,0.05018333333333334,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.10226666666666667,min
Cumulative refresh count of primary shards,,66,
Min cumulative refresh time across primary shards,,0.014766666666666668,min
Median cumulative refresh time across primary shards,,0.020083333333333335,min
Max cumulative refresh time across primary shards,,0.025249999999999998,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.192,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7663194695487618,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,47,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,645.33,docs/s
Mean Throughput,bulk,2384.72,docs/s
Median Throughput,bulk,2418.58,docs/s
Max Throughput,bulk,2472.61,docs/s
50th percentile latency,bulk,57.650723499989454,ms
90th percentile latency,bulk,73.98952330004818,ms
99th percentile latency,bulk,108.11353414003231,ms
99.9th percentile latency,bulk,781.1189002069503,ms
99.99th percentile latency,bulk,1550.5810527758467,ms
100th percentile latency,bulk,1565.8131100000219,ms
50th percentile service time,bulk,57.650723499989454,ms
90th percentile service time,bulk,73.98952330004818,ms
99th percentile service time,bulk,108.11353414003231,ms
99.9th percentile service time,bulk,781.1189002069503,ms
99.99th percentile service time,bulk,1550.5810527758467,ms
100th percentile service time,bulk,1565.8131100000219,ms
error rate,bulk,0.00,%
