Percentage served,Time in ms
0,11.693
1,25.100
2,29.506
3,30.876
4,32.427
5,34.041
6,35.075
7,35.714
8,36.374
9,37.387
10,38.505
11,39.584
12,40.878
13,43.264
14,66.371
15,73.110
16,76.201
17,78.870
18,79.945
19,80.763
20,81.498
21,82.137
22,83.535
23,83.915
24,84.694
25,85.290
26,85.598
27,86.571
28,87.205
29,87.441
30,87.719
31,88.070
32,88.274
33,88.758
34,89.069
35,89.423
36,89.623
37,90.083
38,90.345
39,90.693
40,91.315
41,91.587
42,91.931
43,92.315
44,92.596
45,93.072
46,93.532
47,93.839
48,94.105
49,94.397
50,94.611
51,94.791
52,94.990
53,95.292
54,95.656
55,95.908
56,96.117
57,96.350
58,96.638
59,96.988
60,97.388
61,97.777
62,98.287
63,98.622
64,98.917
65,99.131
66,99.351
67,99.731
68,100.085
69,100.193
70,100.418
71,100.735
72,101.025
73,101.330
74,101.670
75,101.954
76,102.559
77,103.044
78,103.561
79,104.084
80,104.599
81,105.450
82,106.185
83,107.161
84,107.887
85,108.922
86,110.408
87,112.272
88,113.530
89,115.259
90,118.763
91,120.907
92,130.057
93,156.928
94,162.191
95,167.404
96,176.949
97,183.762
98,302.582
99,362.194
100,405.156
