Percentage served,Time in ms
0,16.344
1,20.031
2,20.824
3,21.690
4,22.228
5,22.867
6,23.789
7,24.317
8,24.749
9,25.483
10,25.930
11,26.620
12,27.216
13,27.851
14,28.407
15,28.881
16,29.754
17,30.513
18,31.068
19,32.470
20,33.275
21,34.107
22,35.361
23,36.036
24,37.054
25,39.046
26,41.286
27,45.569
28,68.717
29,69.790
30,70.679
31,71.386
32,72.034
33,72.495
34,73.400
35,73.985
36,74.661
37,75.337
38,75.807
39,76.443
40,77.032
41,77.552
42,78.143
43,78.639
44,79.267
45,79.782
46,80.311
47,80.651
48,81.363
49,81.948
50,82.629
51,83.101
52,83.885
53,84.255
54,84.842
55,85.258
56,85.558
57,85.884
58,86.530
59,86.912
60,87.246
61,87.867
62,88.298
63,88.689
64,89.203
65,89.866
66,90.323
67,90.782
68,91.506
69,92.309
70,92.573
71,92.967
72,93.310
73,93.834
74,94.496
75,95.213
76,95.412
77,95.950
78,96.673
79,97.356
80,98.034
81,98.939
82,99.428
83,100.018
84,100.810
85,101.715
86,102.804
87,103.913
88,105.291
89,106.408
90,107.728
91,109.782
92,112.042
93,114.285
94,115.652
95,121.562
96,136.148
97,160.164
98,171.164
99,182.813
100,18053.299
