Percentage served,Time in ms
0,1.885
1,1.909
2,2.000
3,2.030
4,2.036
5,2.349
6,2.350
7,2.778
8,2.925
9,3.464
10,3.510
11,3.708
12,3.844
13,3.897
14,3.942
15,3.998
16,4.029
17,4.058
18,4.126
19,4.183
20,4.485
21,4.647
22,5.016
23,5.043
24,5.233
25,5.366
26,5.379
27,5.406
28,5.510
29,5.538
30,5.627
31,5.636
32,5.641
33,5.681
34,5.695
35,5.720
36,5.752
37,5.809
38,5.825
39,5.907
40,5.957
41,5.983
42,5.998
43,6.017
44,6.079
45,6.089
46,6.266
47,6.373
48,6.427
49,6.440
50,6.455
51,6.547
52,6.635
53,6.651
54,6.675
55,6.722
56,6.834
57,6.837
58,6.844
59,6.876
60,6.905
61,6.931
62,6.966
63,6.989
64,7.044
65,7.104
66,7.176
67,7.535
68,7.583
69,7.762
70,7.853
71,7.925
72,7.940
73,7.944
74,7.993
75,8.014
76,8.793
77,9.077
78,9.396
79,9.438
80,9.489
81,9.786
82,9.938
83,10.275
84,11.646
85,12.954
86,13.389
87,13.403
88,13.445
89,14.108
90,19.900
91,22.493
92,22.635
93,24.666
94,25.856
95,26.948
96,28.035
97,28.471
98,29.600
99,30.814
100,30.814
