Percentage served,Time in ms
0,1.618
1,1.647
2,1.779
3,1.829
4,1.902
5,1.915
6,1.956
7,2.093
8,2.121
9,2.265
10,2.293
11,2.553
12,2.567
13,2.637
14,2.784
15,2.816
16,2.842
17,2.910
18,3.032
19,3.056
20,3.074
21,3.177
22,3.187
23,3.198
24,3.207
25,3.305
26,3.550
27,3.552
28,3.742
29,3.752
30,4.090
31,4.156
32,4.242
33,4.330
34,4.335
35,4.408
36,4.445
37,4.495
38,4.654
39,4.655
40,4.658
41,4.909
42,4.998
43,5.022
44,5.104
45,5.457
46,5.549
47,5.881
48,6.086
49,6.164
50,6.184
51,6.216
52,6.321
53,6.867
54,7.048
55,7.376
56,7.620
57,7.990
58,8.132
59,8.172
60,8.251
61,8.387
62,8.625
63,8.630
64,9.075
65,9.245
66,9.305
67,9.407
68,9.521
69,10.170
70,10.175
71,10.432
72,10.502
73,10.683
74,10.762
75,10.883
76,10.900
77,11.692
78,11.729
79,11.944
80,12.154
81,12.344
82,12.438
83,12.478
84,12.680
85,12.708
86,12.710
87,12.914
88,13.017
89,13.265
90,13.439
91,13.456
92,13.679
93,14.100
94,16.209
95,16.621
96,17.264
97,19.438
98,21.155
99,16943.103
100,16943.103
