Percentage served,Time in ms
0,11.957
1,14.166
2,14.892
3,16.696
4,18.954
5,18.962
6,18.984
7,19.262
8,19.509
9,20.582
10,21.009
11,21.990
12,22.024
13,22.694
14,22.772
15,23.724
16,23.871
17,24.129
18,24.186
19,24.246
20,24.717
21,24.770
22,24.794
23,25.239
24,25.475
25,25.744
26,25.952
27,26.024
28,26.131
29,26.381
30,26.425
31,27.391
32,27.528
33,27.733
34,27.741
35,28.083
36,28.893
37,29.296
38,29.789
39,31.267
40,31.460
41,31.622
42,32.371
43,34.506
44,34.972
45,35.293
46,36.564
47,41.078
48,43.654
49,47.401
50,67.186
51,68.776
52,69.095
53,69.380
54,69.521
55,69.663
56,71.600
57,71.823
58,71.965
59,72.098
60,72.552
61,73.467
62,73.470
63,73.558
64,73.586
65,74.198
66,74.335
67,75.090
68,75.144
69,75.355
70,75.711
71,75.825
72,76.417
73,77.072
74,78.126
75,78.205
76,78.216
77,78.386
78,78.404
79,78.664
80,79.237
81,79.484
82,79.652
83,79.659
84,79.930
85,80.482
86,80.716
87,81.199
88,81.395
89,81.872
90,81.897
91,82.965
92,83.061
93,83.422
94,83.798
95,85.654
96,86.370
97,86.502
98,91.206
99,100.348
100,100.348
