Percentage served,Time in ms
0,13.350
1,13.870
2,15.088
3,15.144
4,16.563
5,17.065
6,17.324
7,17.411
8,17.524
9,17.630
10,18.379
11,18.407
12,18.436
13,18.523
14,18.531
15,18.549
16,18.821
17,18.829
18,18.927
19,19.062
20,19.186
21,19.328
22,19.334
23,19.340
24,19.399
25,19.425
26,19.454
27,19.793
28,19.864
29,19.867
30,19.902
31,19.967
32,19.968
33,20.126
34,20.213
35,20.299
36,20.378
37,20.597
38,20.724
39,20.974
40,21.011
41,21.064
42,21.398
43,21.406
44,21.479
45,21.532
46,22.090
47,22.617
48,22.953
49,23.152
50,23.372
51,23.427
52,23.743
53,23.788
54,24.536
55,26.061
56,26.084
57,26.093
58,29.122
59,45.968
60,46.346
61,47.137
62,48.157
63,50.321
64,58.596
65,58.889
66,59.388
67,59.388
68,62.235
69,64.798
70,65.824
71,66.689
72,67.350
73,67.879
74,68.729
75,68.766
76,69.616
77,69.703
78,69.751
79,70.125
80,70.150
81,70.561
82,70.766
83,71.802
84,71.870
85,71.968
86,72.139
87,72.410
88,72.435
89,72.752
90,73.116
91,73.450
92,75.067
93,75.312
94,77.920
95,78.174
96,78.272
97,78.432
98,80.863
99,19642.190
100,19642.190
