Percentage served,Time in ms
0,9.242
1,12.046
2,12.607
3,12.972
4,13.371
5,13.998
6,14.277
7,14.675
8,15.051
9,15.484
10,15.706
11,16.121
12,16.706
13,16.957
14,17.306
15,17.639
16,17.939
17,18.414
18,18.703
19,19.221
20,19.569
21,19.814
22,20.017
23,20.300
24,20.491
25,20.808
26,21.011
27,21.221
28,21.423
29,21.727
30,21.929
31,22.166
32,22.367
33,22.490
34,22.653
35,22.792
36,23.007
37,23.132
38,23.232
39,23.369
40,23.456
41,23.687
42,23.776
43,24.008
44,24.180
45,24.378
46,24.632
47,24.795
48,24.895
49,24.973
50,25.114
51,25.249
52,25.567
53,25.715
54,25.982
55,26.154
56,26.353
57,26.665
58,26.759
59,26.986
60,27.123
61,27.342
62,27.608
63,27.986
64,28.375
65,28.801
66,29.305
67,30.048
68,30.367
69,30.933
70,31.701
71,32.269
72,33.077
73,34.321
74,36.028
75,37.093
76,38.744
77,40.426
78,41.640
79,42.567
80,43.637
81,44.696
82,45.246
83,45.900
84,46.573
85,47.254
86,47.889
87,48.507
88,49.120
89,49.622
90,50.080
91,50.924
92,51.564
93,53.029
94,53.913
95,54.673
96,55.318
97,56.442
98,58.635
99,61.762
100,69.080
