Percentage served,Time in ms
0,10.907
1,13.044
2,14.187
3,14.943
4,15.146
5,15.484
6,15.830
7,16.017
8,16.271
9,16.636
10,16.993
11,17.188
12,17.546
13,17.771
14,18.216
15,18.481
16,18.905
17,19.168
18,19.560
19,19.803
20,20.181
21,20.370
22,20.592
23,20.799
24,21.184
25,21.491
26,21.839
27,22.335
28,22.622
29,23.008
30,23.321
31,23.626
32,23.931
33,24.161
34,24.320
35,24.520
36,24.758
37,25.013
38,25.250
39,25.597
40,25.785
41,26.004
42,26.321
43,26.572
44,26.884
45,27.196
46,27.405
47,27.704
48,28.009
49,28.329
50,28.733
51,28.923
52,29.202
53,29.512
54,29.805
55,30.200
56,30.711
57,31.076
58,31.610
59,32.362
60,32.985
61,33.429
62,34.415
63,35.409
64,36.017
65,37.647
66,38.299
67,39.980
68,41.686
69,42.983
70,44.430
71,45.757
72,46.914
73,47.523
74,48.386
75,49.385
76,50.030
77,50.469
78,50.933
79,51.695
80,52.434
81,53.114
82,53.518
83,54.558
84,55.769
85,56.884
86,57.254
87,58.076
88,58.800
89,59.653
90,60.388
91,60.866
92,61.971
93,63.227
94,64.663
95,65.173
96,66.500
97,68.175
98,69.852
99,74.763
100,19776.132
