Percentage served,Time in ms
0,8.749
1,12.983
2,14.196
3,14.794
4,15.236
5,15.736
6,16.158
7,16.520
8,16.824
9,17.119
10,17.354
11,17.468
12,17.702
13,17.781
14,17.871
15,17.947
16,18.065
17,18.154
18,18.326
19,18.603
20,18.792
21,18.933
22,19.095
23,19.253
24,19.446
25,19.559
26,19.740
27,19.914
28,20.038
29,20.255
30,20.435
31,20.607
32,20.772
33,20.879
34,21.007
35,21.157
36,21.389
37,21.619
38,21.916
39,22.304
40,22.628
41,23.018
42,23.328
43,23.521
44,24.041
45,24.756
46,25.250
47,25.617
48,26.088
49,26.752
50,27.471
51,28.044
52,28.974
53,29.863
54,31.445
55,34.738
56,43.194
57,55.170
58,61.072
59,63.734
60,64.802
61,65.483
62,66.190
63,66.554
64,67.035
65,67.209
66,67.414
67,67.564
68,67.827
69,68.085
70,68.321
71,68.660
72,68.903
73,69.102
74,69.371
75,69.535
76,69.791
77,69.939
78,70.302
79,70.677
80,71.067
81,71.440
82,71.936
83,72.222
84,72.745
85,73.117
86,73.829
87,74.499
88,75.250
89,76.108
90,77.314
91,78.651
92,79.598
93,80.429
94,81.574
95,82.850
96,84.351
97,85.874
98,87.500
99,95.317
100,158.071
