Percentage served,Time in ms
0,5.211
1,10.489
2,11.823
3,12.284
4,12.542
5,12.837
6,12.903
7,13.089
8,13.226
9,13.427
10,13.501
11,13.720
12,13.843
13,13.915
14,14.009
15,14.117
16,14.199
17,14.269
18,14.317
19,14.382
20,14.476
21,14.555
22,14.690
23,14.775
24,14.890
25,14.999
26,15.085
27,15.165
28,15.294
29,15.399
30,15.520
31,15.670
32,15.769
33,15.894
34,16.047
35,16.116
36,16.189
37,16.286
38,16.377
39,16.539
40,16.614
41,16.718
42,16.823
43,16.949
44,17.075
45,17.375
46,17.563
47,17.751
48,17.958
49,18.514
50,19.165
51,19.958
52,20.956
53,22.336
54,23.219
55,24.227
56,25.500
57,26.590
58,29.532
59,36.899
60,59.734
61,61.455
62,61.889
63,62.651
64,62.951
65,63.290
66,63.499
67,63.772
68,63.987
69,64.229
70,64.436
71,64.760
72,65.140
73,65.363
74,65.609
75,65.816
76,66.132
77,66.688
78,66.986
79,67.363
80,67.705
81,68.187
82,68.850
83,70.101
84,71.303
85,72.176
86,73.761
87,74.890
88,76.330
89,78.233
90,82.894
91,89.784
92,94.147
93,101.246
94,103.484
95,105.628
96,109.008
97,113.086
98,118.956
99,159.333
100,22007.714
