Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6439,min
Min cumulative indexing time across primary shards,,0.32408333333333333,min
Median cumulative indexing time across primary shards,,0.32955,min
Max cumulative indexing time across primary shards,,0.33316666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.23063333333333333,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.040383333333333334,min
Median cumulative merge time across primary shards,,0.04811666666666667,min
Max cumulative merge time across primary shards,,0.05103333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.10251666666666666,min
Cumulative refresh count of primary shards,,66,
Min cumulative refresh time across primary shards,,0.01668333333333333,min
Median cumulative refresh time across primary shards,,0.02088333333333333,min
Max cumulative refresh time across primary shards,,0.023683333333333334,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.212,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.27347787749022245,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,56,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1943.66,docs/s
Mean Throughput,bulk,3257.85,docs/s
Median Throughput,bulk,3276.98,docs/s
Max Throughput,bulk,3450.46,docs/s
50th percentile latency,bulk,42.38712499999053,ms
90th percentile latency,bulk,48.95115739999767,ms
99th percentile latency,bulk,91.6774924299975,ms
99.9th percentile latency,bulk,199.1158900619957,ms
99.99th percentile latency,bulk,686.7347955249852,ms
100th percentile latency,bulk,730.3138409999974,ms
50th percentile service time,bulk,42.38712499999053,ms
90th percentile service time,bulk,48.95115739999767,ms
99th percentile service time,bulk,91.6774924299975,ms
99.9th percentile service time,bulk,199.1158900619957,ms
99.99th percentile service time,bulk,686.7347955249852,ms
100th percentile service time,bulk,730.3138409999974,ms
error rate,bulk,0.00,%
