Percentage served,Time in ms
0,1.326
1,1.772
2,2.027
3,2.207
4,2.352
5,2.459
6,2.579
7,2.664
8,2.753
9,2.849
10,2.905
11,2.961
12,3.004
13,3.104
14,3.175
15,3.257
16,3.304
17,3.360
18,3.380
19,3.421
20,3.477
21,3.522
22,3.580
23,3.610
24,3.653
25,3.688
26,3.743
27,3.808
28,3.840
29,3.863
30,3.930
31,3.971
32,4.003
33,4.071
34,4.104
35,4.140
36,4.167
37,4.213
38,4.247
39,4.270
40,4.318
41,4.362
42,4.412
43,4.428
44,4.502
45,4.576
46,4.625
47,4.666
48,4.712
49,4.773
50,4.801
51,4.890
52,4.949
53,5.000
54,5.026
55,5.087
56,5.179
57,5.240
58,5.294
59,5.370
60,5.447
61,5.501
62,5.587
63,5.706
64,5.773
65,5.827
66,5.929
67,6.009
68,6.082
69,6.153
70,6.270
71,6.451
72,6.533
73,6.635
74,6.749
75,6.872
76,7.021
77,7.169
78,7.284
79,7.474
80,7.796
81,7.952
82,8.133
83,8.404
84,8.685
85,8.979
86,9.358
87,9.633
88,10.243
89,10.992
90,13.184
91,23.781
92,40.763
93,44.775
94,46.721
95,48.703
96,49.755
97,50.385
98,51.252
99,53.580
100,59.489
